#latitude,longitude,control
samplerate,1
36.5872881,-121.7559561,0
36.5872083342817,-121.756021112449,0
36.5871290346086,-121.756087676085,0
36.587049734854,-121.75615423972,0
36.586970435018,-121.756220803356,0
36.5868911351005,-121.756287366991,0
36.5868118351014,-121.756353930627,0
36.586732535021,-121.756420494262,0
36.5866532348591,-121.756487057898,0
36.5865739346156,-121.756553621533,0
36.5864946342908,-121.756620185169,0
36.5864158,-121.7566883,0
36.5863326007738,-121.756744098804,0
36.5862498675746,-121.756801448803,0
36.5861671342866,-121.756858798802,0
36.58608440091,-121.756916148801,0
36.5860016674447,-121.756973498801,0
36.5859194,-121.7570324,0
36.5858334434562,-121.757077139708,0
36.5857479529269,-121.757123430617,0
36.5856624623029,-121.757169721525,0
36.5855769715843,-121.757216012434,0
36.585491480771,-121.757262303342,0
36.585405989863,-121.757308594251,0
36.5853204988603,-121.757354885159,0
36.5852350077629,-121.757401176068,0
36.5851495165709,-121.757447466976,0
36.5850640252841,-121.757493757885,0
36.584979,-121.7575416,0
36.584892634095,-121.757573948793,0
36.5848067341917,-121.757607848793,0
36.5847208341928,-121.757641748792,0
36.5846349340983,-121.757675648792,0
36.5845495,-121.7577111,0
36.5844336340822,-121.757729515458,0
36.5843182340837,-121.757749482124,0
36.5842033,-121.757771,0
36.584112891371,-121.757770448791,SPLIT:INTO HAIRPIN
36.5840229487246,-121.757771448791,0
36.5839330059734,-121.75777244879,0
36.5838430631174,-121.75777344879,0
36.5837531201566,-121.75777444879,0
36.583663177091,-121.75777544879,0
36.5835737,-121.757778,0
36.5834785771272,-121.757771577362,START(0 128 255):HAIRPIN
36.5833839202177,-121.757766705933,0
36.5832892631921,-121.757761834505,0
36.5831946060504,-121.757756963076,0
36.5830999487927,-121.757752091648,0
36.5830052914189,-121.757747220219,0
36.5829111,-121.7577439,0
36.5828017,-121.7577254,0
36.5827164,-121.7576999,0
36.5826621,-121.757673,0
36.5826175,-121.7576416,0
36.5825869,-121.7576129,0
36.5825615,-121.7575799,0
36.5825355,-121.7575321,0
36.5825155,-121.7574788,0
36.5825024,-121.7574213,0
36.5824968,-121.7573601,0
36.5824997,-121.7572836,0
36.5825113,-121.7572071,0
36.5825283,-121.7571427,0
36.5825524,-121.7570829,0
36.5825835,-121.7570295,0
36.5826216,-121.7569817,0
36.5826669,-121.7569396,0
36.582717,-121.756906,0
36.5827641,-121.7568863,0
36.5828143,-121.7568746,0
36.582874,-121.7568688,0
36.5829415,-121.756873,0
36.5830299006965,-121.756898015468,0
36.583118767362,-121.756924582135,0
36.5832081,-121.7569527,0
36.5833033340427,-121.756976815467,0
36.5833990340415,-121.757002482134,STOP(0 128 255)
36.5834952,-121.7570297,0
36.5836064007484,-121.7570467488,0
36.5837180674137,-121.7570653488,0
36.5838302,-121.7570855,0
36.5839570840208,-121.757091448799,0
36.5840849,-121.7571005,0
36.5842176340273,-121.757088898799,0
36.5843513,-121.7570804,START(0 128 255):TURN 3
36.5845235,-121.7570417,0
36.5845941,-121.7570125,0
36.5846583,-121.7569775,0
36.5847101,-121.756942,0
36.5847567,-121.7569025,0
36.5847977,-121.7568607,0
36.5848352,-121.7568139,0
36.5848764,-121.7567504,0
36.5849123,-121.7566826,0
36.5849376,-121.7566219,0
36.5849573,-121.7565598,0
36.5849727,-121.7564928,0
36.5849835,-121.7564216,0
36.5849934,-121.7562347,0
36.5849836,-121.7561145,0
36.5849600975737,-121.755999812449,0
36.5849370612378,-121.755886676087,0
36.5849140248951,-121.755773539725,STOP(0 128 255)
36.5848909885455,-121.755660403363,0
36.5848679521891,-121.755547267001,0
36.5848449158257,-121.755434130638,0
36.5848218794555,-121.755320994276,0
36.5847988430784,-121.755207857914,0
36.5847758066944,-121.755094721552,0
36.5847527703036,-121.75498158519,START(0 128 255):TURN 4
36.5847302,-121.75487,0
36.5847008339171,-121.754734615496,0
36.5846719339175,-121.754600782164,0
36.5846435,-121.7544685,0
36.5845865,-121.7542956,0
36.5845211,-121.7541686,0
36.5844369,-121.7540514,0
36.5843367,-121.7539508,0
36.584193,-121.7538506,0
36.5840301,-121.7537797,0
36.5839148840016,-121.753747898842,0
36.5838006,-121.7537192,0
36.5836727340245,-121.753700348842,0
36.5835458,-121.7536846,0
36.5834551090803,-121.753679998843,STOP(0 128 255)
36.5833648841342,-121.753676948843,0
36.5832746590826,-121.753673898843,0
36.5831849,-121.7536724,0
36.5830681341023,-121.753678215509,0
36.5829518341037,-121.753685582176,0
36.582836,-121.7536945,0
36.5827292341509,-121.753710898842,0
36.5826229342255,-121.753728848842,0
36.5825166341536,-121.753746798842,0
36.5824108,-121.7537663,0
36.582318059102,-121.753788398841,0
36.5822257841584,-121.753812048841,0
36.5821335091044,-121.753835698841,0
36.5820417,-121.7538609,0
36.581951154677,-121.75389080884,0
36.5818610753088,-121.75392226884,0
36.5817709958355,-121.753953728839,SPLIT:INTO 5
36.5816809162571,-121.753985188839,0
36.5815908365736,-121.754016648838,0
36.5815007567849,-121.754048108838,0
36.5814106768912,-121.754079568838,START(0 128 255):TURN 5
36.5813205968923,-121.754111028837,0
36.5812305167884,-121.754142488837,0
36.5811404365793,-121.754173948836,0
36.5810503562651,-121.754205408836,0
36.5809602758458,-121.754236868836,0
36.5808701953215,-121.754268328835,0
36.580780114692,-121.754299788835,0
36.5806905,-121.7543328,0
36.5805883840256,-121.754357398834,0
36.5804872,-121.7543851,0
36.5804199,-121.7543873,0
36.5803564,-121.7543794,0
36.5802908,-121.7543608,0
36.5802276,-121.7543327,0
36.5801655,-121.7542937,0
36.5801092,-121.7542477,0
36.5800661,-121.7542039,0
36.5800279,-121.7541526,0
36.5799805,-121.7540644,0
36.57994,-121.753964,0
36.5799092,-121.7538569,0
36.5798874,-121.7537404,0
36.5798708,-121.7535794,0
36.579866,-121.7534014,0
36.5798750839695,-121.753277348848,STOP(0 128 255)
36.57988463397,-121.753154848849,0
36.5798941839693,-121.753032348851,0
36.5799042,-121.7529114,0
36.5799210506552,-121.752792032187,0
36.5799383673391,-121.752674215522,0
36.5799556840191,-121.752556398857,0
36.5799730006953,-121.752438582192,0
36.5799903173676,-121.752320765527,0
36.580007634036,-121.752202948861,0
36.5800249507005,-121.752085132196,0
36.5800422673611,-121.751967315531,0
36.5800595840178,-121.751849498866,SPLIT:MID 5-6
36.5800769006707,-121.751731682201,0
36.5800942173196,-121.751613865536,0
36.580112,-121.7514976,0
36.5801283964774,-121.751378036372,0
36.5801452589864,-121.751260023873,0
36.5801621214917,-121.751142011375,0
36.5801789839933,-121.751023998876,0
36.5801958464913,-121.750905986378,0
36.5802127089855,-121.750787973879,START(0 128 255):TURN 6
36.5802295714761,-121.750669961381,0
36.5802469,-121.7505535,0
36.5802669339709,-121.750439723884,0
36.5802874339734,-121.750327498885,0
36.5803079339704,-121.750215273887,0
36.5803289,-121.7501046,0
36.5803586,-121.7500121,0
36.5803925,-121.7499348,0
36.5804279,-121.7498705,0
36.5804709,-121.7498105,0
36.5805341,-121.7497429,0
36.5806128,-121.7496768,0
36.5807458,-121.749588,0
36.5809039,-121.7495043,0
36.5809948341699,-121.749471068896,0
36.5810862342769,-121.749439388897,0
36.5811776342758,-121.749407708897,0
36.5812690341664,-121.749376028897,0
36.5813609,-121.7493459,0
36.5814623009502,-121.749327982231,0
36.5815641678172,-121.749311615565,0
36.5816660345498,-121.749295248898,STOP(0 128 255)
36.581767901148,-121.749278882232,0
36.5818697676117,-121.749262515566,0
36.5819721,-121.7492477,0
36.5820677343585,-121.749243798899,0
36.5821638346564,-121.749241448899,0
36.5822599348346,-121.749239098899,0
36.5823560348932,-121.749236748899,0
36.5824521348321,-121.749234398899,0
36.5825482346514,-121.749232048899,0
36.5826443343512,-121.749229698899,0
36.5827409,-121.7492289,0
36.58283668459,-121.749224890566,0
36.5829329351288,-121.749222432233,0
