#header2
samplerate,1
42.4879496835486,-74.7788016059292,0
42.4880061083475,-74.7787059645512,0
42.4880625330954,-74.7786103231731,0
42.4881189577925,-74.778514681795,0
42.4881753824387,-74.7784190404169,0
42.488231807034,-74.7783233990388,0
42.4882882315784,-74.7782277576607,0
42.4883446560718,-74.7781321162826,0
42.4884010805144,-74.7780364749045,0
42.4884575049061,-74.7779408335264,0
42.4885139292469,-74.7778451921483,0
42.4885703535368,-74.7777495507702,SPLIT:INTO 1
42.4886267777758,-74.7776539093921,0
42.488683201964,-74.777558268014,0
42.4887396261012,-74.777462626636,0
42.4887960501875,-74.7773669852579,0
42.4888524742229,-74.7772713438798,0
42.4889088982074,-74.7771757025017,0
42.488965322141,-74.7770800611236,0
42.4890217460238,-74.7769844197455,0
42.4890781698556,-74.7768887783674,0
42.4891345936366,-74.7767931369893,0
42.4891910173666,-74.7766974956112,0
42.4892474410457,-74.7766018542331,START(0 128 255):TURN-1-2
42.489303864674,-74.776506212855,0
42.4893602882513,-74.776410571477,0
42.4894167117778,-74.7763149300989,0
42.4894731352533,-74.7762192887208,0
42.4895301,-74.7761246,0
42.4896062254377,-74.7760211806773,0
42.4896828921033,-74.775918714012,0
42.4897601,-74.7758172,0
42.4898346,-74.7757384,0
42.4899072,-74.7756764,0
42.4899806,-74.7756299,0
42.4900287,-74.7756062,0
42.4900782,-74.7755887,0
42.4901214,-74.7755824,0
42.4901639,-74.7755838,0
42.4902094,-74.7755949,0
42.4902487,-74.7756099,0
42.4902757,-74.7756254,0
42.4903271,-74.7756669,0
42.4903624,-74.7757065,0
42.4904242,-74.7758047,0
42.4904505,-74.7758619,0
42.4904891,-74.7759905,0
42.4905016,-74.7760611,0
42.4905146,-74.77629,0
42.4905108,-74.7763709,STOP(0 128 255)
42.4904905086689,-74.776494197338,0
42.4904713,-74.7766194,0
42.490431208679,-74.7767436973348,0
42.4903922,-74.7768699,0
42.4903442587754,-74.7769772901889,0
42.4902968588478,-74.7770856330447,0
42.4902494588844,-74.7771939759005,0
42.4902020588849,-74.7773023187562,0
42.4901546588496,-74.777410661612,0
42.4901072587784,-74.7775190044677,START(0 128 255):TURN 3
42.4900604,-74.7776283,0
42.4900322,-74.7777059,0
42.49001,-74.7777832,0
42.4899944,-74.7778609,0
42.4899859,-74.7779382,0
42.4899848,-74.7780154,0
42.4899921,-74.7780919,0
42.4900077,-74.7781674,0
42.4900302,-74.7782411,0
42.4900606,-74.7783104,0
42.4900972,-74.7783743,0
42.4901391,-74.7784307,0
42.4901864,-74.7784798,0
42.4902384,-74.7785207,0
42.4902944,-74.7785518,0
42.4903523,-74.7785734,0
42.490413,-74.7785857,0
42.4904756,-74.7785902,0
42.4905387,-74.7785855,0
42.4906011,-74.7785724,0
42.4906626,-74.77855,0
42.4907213,-74.7785179,0
42.4907757,-74.7784759,0
42.4908258,-74.778424,0
42.4908725,-74.7783629,0
42.4909164,-74.7782971,0
42.4909564,-74.778226,0
42.4909931,-74.778151,0
42.491027,-74.7780726,0
42.4910872,-74.7779067,0
42.491122598699,-74.7777793873216,STOP(0 128 255)
42.4911585387192,-74.7776530273232,0
42.4911944787187,-74.7775266673248,0
42.4912304186976,-74.7774003073264,0
42.4912669,-74.7772749,0
42.4912978287267,-74.7771515773296,0
42.4913292987817,-74.7770292073311,SPLIT:EXIT OF 3
42.4913607688209,-74.7769068373327,0
42.4913922388443,-74.7767844673343,0
42.4914237088518,-74.7766620973358,0
42.4914551788435,-74.7765397273374,0
42.4914866488193,-74.7764173573389,0
42.4915181187793,-74.7762949873405,0
42.4915495887235,-74.7761726173421,0
42.4915816,-74.7760512,0
42.4916302586899,-74.7759255473452,0
42.4916794586893,-74.7758008473468,0
42.4917292,-74.7756771,0
42.4917938086831,-74.7755584473499,0
42.4918595,-74.7754417,START(0 128 255):TURN-5-6
42.4919333586916,-74.7753497973525,0
42.4920083,-74.7752598,0
42.492061,-74.7752124,0
42.4921172,-74.7751731,0
42.4921757,-74.7751426,0
42.4922361,-74.7751216,0
42.4922984,-74.7751103,0
42.4923612,-74.7751094,0
42.4924249,-74.7751205,0
42.4924867,-74.7751427,0
42.4925456,-74.7751762,0
42.4926008,-74.7752208,0
42.4926524,-74.7752749,0
42.4927435,-74.7754063,0
42.4927824,-74.7754818,0
42.4928152,-74.7755638,0
42.4928404,-74.7756515,0
42.4928583,-74.7757431,0
42.4928679,-74.7758372,0
42.4928687,-74.7759323,0
42.4928615,-74.7760264,0
42.4928456,-74.7761192,0
42.4928223,-74.7762092,0
42.4927691086589,-74.77633554734,0
42.492717,-74.7764638,0
42.492672,-74.7765425,STOP(0 128 255)
42.4925918086897,-74.776648597336,0
42.4925127,-74.7767566,0
42.492441642173,-74.7768326140003,0
42.4923711256265,-74.776909580666,0
42.4923006090005,-74.7769865473317,0
42.4922300922949,-74.7770635139974,SPLIT:EXIT OF 6
42.4921595755099,-74.7771404806631,0
42.4920896,-74.7772184,0
42.4919681,-74.7773726,0
42.4918534,-74.7775451,0
42.4917451,-74.7777339,0
42.491694089664,-74.7778339165517,0
42.4916436206375,-74.7779348857811,0
42.4915931515703,-74.7780358550106,0
42.4915426824623,-74.7781368242401,0
42.4914922133136,-74.7782377934696,0
42.4914417441242,-74.7783387626991,0
42.4913912748941,-74.7784397319286,0
42.4913408056233,-74.778540701158,0
42.4912903363117,-74.7786416703875,0
42.4912398669594,-74.778742639617,0
42.4911893975664,-74.7788436088465,0
42.4911389281326,-74.778944578076,0
42.491089,-74.7790465,0
42.4910243587246,-74.7791478473041,0
42.4909602587255,-74.7792501473029,0
42.4908967,-74.7793534,0
42.4908264087004,-74.7794369973005,0
42.4907572,-74.7795225,0
42.4906475,-74.7796221,0
42.4905261,-74.7797127,0
42.4904396254511,-74.7797561806297,0
42.4903536921189,-74.7798006139625,0
42.4902683,-74.779846,0
42.4901757338728,-74.7798764722949,0
42.4900837089417,-74.7799078972945,0
42.4899916838752,-74.7799393222941,0
42.4899002,-74.7799717,0
42.4898141,-74.7800081,SPLIT:INTO 10
42.489656,-74.7800928,0
42.4895811,-74.7801399,0
42.4895088,-74.7801925,0
42.4894402,-74.7802521,0
42.4893762,-74.780319,0
42.4892982338247,-74.780411147288,START(0 128 255):TURN-10
42.4892208088736,-74.7805042472869,0
42.4891433838267,-74.7805973472857,0
42.4890665,-74.7806914,0
42.4890008,-74.7807516,0
42.4888639,-74.7808451,0
42.4887917,-74.7808744,0
42.4887166,-74.780891,0
42.4886396,-74.7808972,0
42.4885619,-74.7808924,0
42.4884636589205,-74.7808632722823,0
42.488365958998,-74.7808350972826,STOP(0 128 255)
42.488268258923,-74.780806922283,0
42.4881711,-74.7807797,0
42.4880897,-74.7807637,0
42.4880083,-74.7807551,0
42.4879275,-74.7807546,START(0 128 255):TURN-11
42.4878469,-74.7807614,0
42.4877669,-74.7807762,0
42.4876881,-74.7807996,0
42.4876119,-74.7808325,0
42.4875392,-74.7808742,0
42.4874708,-74.780925,0
42.4874059,-74.780984,0
42.4873438,-74.7810508,0
42.4872849,-74.7811245,0
42.4872288,-74.7812049,0
42.4871758,-74.7812912,0
42.4871024587513,-74.7814286472751,0
42.4870302,-74.781568,STOP(0 128 255)
42.486947,-74.7817557,0
42.4869126,-74.7818476,0
42.4868575,-74.7820286,0
42.4868166,-74.782203,0
42.4868041,-74.7822879,START(0 128 255):TURN-12
42.4867983,-74.782368,0
42.4868001,-74.782445,0
42.4868098,-74.7825189,0
42.4868276,-74.7825896,0
42.4868525,-74.7826575,0
42.486885,-74.7827223,0
42.4869245,-74.7827825,0
42.4869699,-74.7828372,0
42.4870211,-74.7828857,0
42.487076,-74.7829284,0
42.487136,-74.7829646,STOP(0 128 255)
42.4871994,-74.7829932,0
42.4872664,-74.7830109,0
42.4873358,-74.7830178,0
42.487406,-74.7830133,0
42.4874766,-74.7829977,0
42.4875463,-74.782971,0
42.4876136,-74.7829331,START(0 128 255):TURN-13-14
42.4876783,-74.7828856,0
42.4877675587649,-74.7828041972576,0
42.4878579,-74.7827247,0
42.4879729,-74.7826446,0
42.4880309,-74.7826176,0
42.4880882,-74.7826017,0
42.4881441,-74.7825973,0
42.488198,-74.782604,0
42.4882507,-74.7826219,0
42.4883016,-74.7826496,0
42.488348,-74.782688,0
42.4883692,-74.7827095,0
42.4883902,-74.7827359,0
42.4884241,-74.7827928,0
42.488453,-74.7828538,0
42.4884638,-74.7828876,0
42.4884709,-74.7829203,0
42.4884801,-74.7829911,0
42.488481,-74.7830636,0
42.488474,-74.783137,0
42.4884429587067,-74.783289813918,0
42.4884124587071,-74.7834435805827,STOP(0 128 255)
