#latitude,longitude,control
samplerate,1
26.921903,-80.3056438,0
26.922006323915,-80.3056332602294,0
26.9221099907232,-80.3056237435628,0
26.9222136574362,-80.3056142268963,0
26.9223173240539,-80.3056047102297,0
26.9224209905764,-80.3055951935632,START(0 128 255):TURN 1-2-3
26.922525,-80.3055867,0
26.9226337,-80.3055918,0
26.9227236,-80.3056073,0
26.922796,-80.3056296,0
26.922864,-80.3056618,0
26.9229390570235,-80.3057181268949,0
26.9230148,-80.3057765,0
26.9230892570212,-80.3058426268934,0
26.9231644,-80.3059108,0
26.9232306,-80.3059521,0
26.9233338,-80.3059936,0
26.9233857,-80.3060062,0
26.9234383,-80.3060137,0
26.923491,-80.306016,0
26.9235438,-80.306013,0
26.9235971,-80.3060044,0
26.9236497,-80.3059905,0
26.9237015,-80.3059715,0
26.9237537,-80.3059463,0
26.9238869,-80.3058575,0
26.9239707571109,-80.305789696894,0
26.9240549571726,-80.3057229168949,0
26.9241391571716,-80.3056561368957,0
26.9242233571076,-80.3055893568966,0
26.9243079,-80.3055236,0
26.9243917237093,-80.3054768102313,STOP(0 128 255)
26.9244758903749,-80.3054310435653,0
26.9245604,-80.3053863,0
26.9246540903882,-80.3053548768996,0
26.9247481237203,-80.3053244769,0
26.9248425,-80.3052951,0
26.9249438071102,-80.3052808769005,0
26.9250454571547,-80.3052676769007,0
26.9251471071076,-80.3052544769008,0
26.9252491,-80.3052423,0
26.9253442073311,-80.3052376369011,0
26.9254396576125,-80.3052339969011,0
26.9255351078132,-80.3052303569011,0
26.9256305579332,-80.3052267169012,0
26.9257260079723,-80.3052230769013,START(0 128 255):TURN 4
26.9258214579307,-80.3052194369013,0
26.9259169078084,-80.3052157969014,0
26.9260123576053,-80.3052121569014,0
26.9261078073214,-80.3052085169014,0
26.9262036,-80.3052059,0
26.9263058,-80.3052178,0
26.9263848,-80.3052384,0
26.9264506,-80.305265,0
26.9265099,-80.3052991,0
26.9265641,-80.3053406,0
26.926612,-80.3053887,0
26.926652,-80.3054427,0
26.9266842,-80.3055014,0
26.9267078,-80.3055644,0
26.9267229,-80.3056274,0
26.9267285,-80.3056765,0
26.9267283,-80.3057241,0
26.9267232,-80.3057719,0
26.926713,-80.3058188,0
26.9266977,-80.3058643,0
26.9266774,-80.3059078,0
26.9266524,-80.3059487,0
26.926623,-80.3059865,0
26.9265904,-80.3060201,0
26.9265527,-80.3060504,0
26.9264994,-80.3060826,0
26.9264401,-80.3061086,0
26.9263772,-80.3061255,0
26.9263119,-80.3061337,0
26.9262446,-80.306133,0
26.926175,-80.3061226,0
26.926092,-80.3060986,0
26.9260001,-80.30606,0
26.9259085570711,-80.3060058018913,STOP(0 128 255)
26.9258173571091,-80.3059526268919,0
26.9257261570734,-80.3058994518926,0
26.9256353,-80.3058473,0
26.9255296570145,-80.3058028268939,0
26.9254247,-80.3057604,0
26.9253333570045,-80.3057348768947,0
26.9252427,-80.3057114,0
26.925146457011,-80.3056975768952,START(0 128 255):TURN 5
26.9250509,-80.3056858,0
26.9249512570164,-80.3056865768953,0
26.9248523,-80.3056894,0
26.924704,-80.3057144,0
26.9245629,-80.3057592,0
26.9244335,-80.3058234,0
26.9243183,-80.3059061,0
26.9242507,-80.3059703,0
26.9241918,-80.3060409,0
26.9241425,-80.3061168,0
26.9241036,-80.3061969,0
26.9240758,-80.3062795,0
26.9240589,-80.306363,0
26.9240524,-80.3064465,0
26.9240557,-80.3065292,0
26.9240687,-80.3066103,0
26.9240913,-80.3066891,0
26.9241234,-80.3067646,0
26.9241884,-80.3068703,0
26.9242719,-80.3069649,0
26.9243713,-80.3070453,0
26.9244843,-80.3071089,0
26.9246081,-80.3071537,0
26.9247398,-80.3071795,0
26.9248548570329,-80.3071835768763,0
26.9249706,-80.3071897,0
26.9250627391685,-80.3071878132399,0
26.9251552212888,-80.3071869496035,STOP(0 128 255)
26.9252477033332,-80.3071860859671,0
