#latitude,longitude,control
samplerate,1
42.2340338,-72.2474228,0
42.2340338,-72.2474228,0
42.2340338,-72.2474228,0
42.2340338,-72.2474228,0
42.2340338,-72.2474228,0
42.233971511964,-72.2475676795568,0
42.2339103,-72.2477144,START(0 128 255):Turn 1
42.2338418119721,-72.2478698795529,0
42.2337744,-72.2480272,0
42.2337127,-72.2481219,0
42.2336461,-72.2482013,0
42.2335823,-72.2482606,0
42.2335139,-72.2483088,0
42.233442,-72.2483457,0
42.2333668,-72.2483712,0
42.2332919,-72.248384,0
42.2332153,-72.2483842,0
42.2331317,-72.2483694,0
42.2330472,-72.2483395,STOP(0 128 255)
42.2329514,-72.2482871,0
42.2328512,-72.248213,0
42.2327651871228,-72.2481252295497,0
42.2326797121818,-72.2480383795508,0
42.232594237125,-72.2479515295519,0
42.2325093,-72.2478656,0
42.232435128706,-72.2477645795543,0
42.2323614953736,-72.2476644795556,0
42.2322884,-72.2475653,0
42.2322124120014,-72.2474166795587,0
42.2321375,-72.2472699,START(0 128 255):Turn 2
42.2320915619904,-72.2471400462289,0
42.232046161991,-72.2470111128972,0
42.2320013,-72.2468831,SPLIT:Turn 2
42.231962,-72.2467231,0
42.2319354,-72.2465666,0
42.2319214,-72.2464149,0
42.2319189,-72.2462628,0
42.2319276,-72.2461032,0
42.2319482,-72.2459455,0
42.2319787,-72.2458017,0
42.2320219,-72.2456602,0
42.2320857,-72.2455053,0
42.2321628,-72.2453554,STOP(0 128 255)
42.2322432,-72.2452254,0
42.2323369,-72.2451006,0
42.2324293954239,-72.2450057462561,0
42.2325224287561,-72.244911812924,0
42.232616,-72.2448188,0
42.2326977788851,-72.2447584795926,0
42.2327800957118,-72.2446990795933,0
42.2328624124311,-72.2446396795941,0
42.232944729043,-72.2445802795949,0
42.2330270455476,-72.2445208795956,0
42.2331099,-72.2444624,SPLIT:Into 4
42.2332107621879,-72.2444073295971,0
42.2333121622681,-72.2443531795978,0
42.2334135621853,-72.2442990295985,0
42.2335155,-72.2442458,0
42.233616495435,-72.2442145462662,0
42.2337180287671,-72.2441842129332,0
42.2338201,-72.2441548,START(0 128 255):Turn 3
42.2339201954283,-72.2441470129337,0
42.2340208287603,-72.2441401462671,0
42.234122,-72.2441342,0
42.2342520620654,-72.2441536796003,0
42.2343832,-72.244175,0
42.2344733121227,-72.2442113045996,0
42.2345639621867,-72.2442485295991,0
42.2346546121204,-72.2442857545986,0
42.2347458,-72.2443239,STOP(0 128 255)
42.234846437166,-72.2443731545975,0
42.2349476122458,-72.2444233295969,0
42.2350487871634,-72.2444735045962,0
42.2351505,-72.2445246,START(0 128 255):Turn 4-5
42.2352155,-72.2445461,0
42.235271,-72.2445565,0
42.2353198,-72.2445586,0
42.2353667,-72.2445534,0
42.2354129,-72.2445408,0
42.235457,-72.2445214,0
42.2354994,-72.2444943,0
42.2355386,-72.2444613,0
42.235575,-72.2444226,0
42.2356072,-72.2443792,0
42.2356356,-72.2443299,0
42.2356589,-72.244277,0
42.2356774,-72.2442192,0
42.2356906,-72.2441592,0
42.2356987,-72.244097,0
42.2357013,-72.244034,0
42.2356983,-72.2439701,0
