#latitude,longitude,control
samplerate,1
42.2353094,-72.24569787,0
42.2353418,-72.24567042,0
42.23537444,-72.24564324,0
42.23540733,-72.24561635,0
42.23544045,-72.24558977,0
42.23547384,-72.24556353,0
42.23550753,-72.24553767,0
42.23554145,-72.24551214,0
42.2355756,-72.24548693,0
42.23560999,-72.24546203,0
42.23564463,-72.24543747,0
42.23567953,-72.24541324,0
42.23571463,-72.24538929,0
42.23574994,-72.2453656,0
42.23578543,-72.24534215,0
42.23582114,-72.24531899,0
42.23585706,-72.24529616,0
42.23589318,-72.24527361,0
42.23592948,-72.24525138,0
42.23596598,-72.24522947,0
42.23600272,-72.24520796,0
42.23603971,-72.24518689,0
42.2360769,-72.24516617,0
42.2361143,-72.24514578,0
42.23615188,-72.24512569,0
42.23618966,-72.2451059,0
42.23622761,-72.24508634,0
42.23626571,-72.24506696,0
42.23630393,-72.24504772,0
42.23634227,-72.24502862,0
42.23638075,-72.24500968,0
42.23641937,-72.24499095,0
42.23645811,-72.2449724,0
42.23649697,-72.24495408,0
42.23653596,-72.244936,0
42.23657509,-72.24491821,0
42.2366144,-72.24490076,0
42.23665386,-72.2448836,0
42.23669348,-72.24486674,0
42.23673327,-72.24485017,0
42.23677324,-72.24483392,0
42.2368134,-72.244818,0
42.23685371,-72.24480235,0
42.23689414,-72.24478695,0
42.23693469,-72.2447718,0
42.23697537,-72.24475692,0
42.23701617,-72.24474236,0
42.23705708,-72.24472804,0
42.23709809,-72.24471396,0
42.23713921,-72.24470011,0
42.23718044,-72.2446865,0
42.23722177,-72.2446731,0
42.23726318,-72.24465986,0
42.23730466,-72.24464673,0
42.23734619,-72.2446337,0
42.23738779,-72.24462076,0
42.23742945,-72.24460789,0
42.23747116,-72.24459507,0
42.23751294,-72.24458232,0
42.23755479,-72.24456961,0
42.23759672,-72.24455698,0
42.23763874,-72.24454439,0
42.23768085,-72.24453184,0
42.23772304,-72.24451931,0
42.2377653,-72.24450678,0
42.23780764,-72.24449423,0
42.23785001,-72.24448162,0
42.23789236,-72.24446896,0
42.23793466,-72.24445625,0
42.23797685,-72.2444435,0
42.23801884,-72.24443072,0
42.23806047,-72.24441796,0
42.23810172,-72.24440524,0
42.23814254,-72.24439262,0
42.23818285,-72.24438012,0
42.23822254,-72.24436779,0
42.2382615,-72.24435569,0
42.23829983,-72.24434377,0
42.23833753,-72.24433202,0
42.23837459,-72.24432042,0
42.23841093,-72.24430897,SPLIT:Into 14
42.23844651,-72.24429761,0
42.23848148,-72.24428631,0
42.23851587,-72.24427505,0
42.2385497,-72.24426382,0
42.23858295,-72.24425261,0
42.23861568,-72.24424145,0
42.23864803,-72.24423027,0
42.23868003,-72.24421903,0
42.23871169,-72.24420764,0
42.23874296,-72.24419592,0
42.23877372,-72.24418353,START(0 128 255):Turn 14
42.23880397,-72.24417036,0
42.23883362,-72.2441562,0
42.23886259,-72.24414086,0
42.23889078,-72.24412409,0
42.23891815,-72.24410571,0
42.23894494,-72.24408607,0
42.23897127,-72.24406531,0
42.23899725,-72.24404355,0
42.23902295,-72.24402083,0
42.23904847,-72.24399728,0
42.23907384,-72.24397312,0
42.23909902,-72.24394834,0
42.23912392,-72.2439229,0
42.23914846,-72.24389671,0
42.23917249,-72.24386964,0
42.23919602,-72.24384182,0
42.23921901,-72.24381323,0
42.23924144,-72.24378386,0
42.23926317,-72.24375362,0
42.23928408,-72.24372244,0
42.23930428,-72.24369049,0
42.23932374,-72.24365776,0
42.23934242,-72.24362427,0
42.23936024,-72.24358994,0
42.23937714,-72.24355475,0
42.2393933,-72.24351889,0
42.23940874,-72.24348238,0
42.23942347,-72.24344526,0
42.23943742,-72.24340748,0
42.2394505,-72.24336907,0
42.23946284,-72.2433302,0
42.23947442,-72.24329092,0
42.23948522,-72.24325133,0
42.23949511,-72.24321149,0
42.239504,-72.24317162,0
42.23951208,-72.24313187,0
