#latitude,longitude,control
samplerate,0
42.3409966,-76.9289516,0
42.3409966,-76.9289516,0
42.3410236,-76.9289496,0
42.3410416,-76.9289483,0
42.3410506,-76.9289473,0
42.3410866,-76.9289433,0
42.3410866,-76.9289433,0
42.3411136,-76.9289413,0
42.3411316,-76.92894,0
42.3411406,-76.9289393,0
42.3411766,-76.9289366,0
42.3411766,-76.9289366,0
42.3412036,-76.9289336,0
42.3412216,-76.9289316,0
42.3412306,-76.9289309,0
42.3412666,-76.9289283,0
42.3412666,-76.9289283,0
42.3412936,-76.9289263,0
42.3413116,-76.928925,0
42.3413206,-76.9289243,0
42.3413566,-76.9289216,0
42.3413566,-76.9289216,0
42.3413836,-76.9289196,0
42.3414016,-76.9289183,0
42.3414109,-76.9289176,0
42.3414483,-76.928915,0
42.3414483,-76.928915,0
42.3414753,-76.928912,0
42.3414933,-76.92891,0
42.3415026,-76.9289093,0
42.34154,-76.9289066,0
42.34154,-76.9289066,0
42.341567,-76.9289046,0
42.341585,-76.9289033,0
42.3415943,-76.9289023,0
42.3416316,-76.9288983,0
42.3416316,-76.9288983,0
42.3416586,-76.9288963,0
42.3416766,-76.928895,0
42.3416859,-76.928894,0
42.3417233,-76.92889,0
42.3417233,-76.92889,0
42.3417513,-76.928888,0
42.34177,-76.9288866,0
42.341779,-76.9288856,0
42.341815,-76.9288816,0
42.341815,-76.9288816,0
42.341843,-76.9288796,0
42.3418616,-76.9288783,0
42.3418709,-76.9288773,0
42.3419083,-76.9288733,0
42.3419083,-76.9288733,0
42.3419363,-76.9288703,0
42.341955,-76.9288683,0
42.3419643,-76.9288676,0
42.3420016,-76.928865,0
42.3420016,-76.928865,0
42.3420296,-76.928862,0
42.3420483,-76.92886,0
42.3420576,-76.928859,0
42.342095,-76.928855,0
42.342095,-76.928855,0
42.342123,-76.928852,0
42.3421416,-76.92885,0
42.3421509,-76.9288493,0
42.3421883,-76.9288466,0
42.3421883,-76.9288466,0
42.3422173,-76.9288436,0
42.3422366,-76.9288416,0
42.3422459,-76.9288406,0
42.3422833,-76.9288366,0
42.3422833,-76.9288366,0
42.3423123,-76.9288346,0
42.3423316,-76.9288333,0
42.3423409,-76.9288323,0
42.3423783,-76.9288283,0
42.3423783,-76.9288283,0
42.3424073,-76.9288253,0
42.3424266,-76.9288233,0
42.3424359,-76.9288226,0
42.3424733,-76.92882,0
42.3424733,-76.92882,0
42.3425023,-76.928817,0
42.3425216,-76.928815,0
42.3425313,-76.928814,0
42.34257,-76.92881,0
42.34257,-76.92881,0
42.342599,-76.928808,0
42.3426183,-76.9288066,0
42.3426276,-76.9288056,0
42.342665,-76.9288016,0
42.342665,-76.9288016,0
42.342665,-76.9288016,0
42.3426843,-76.9287996,0
42.3427133,-76.9287966,0
42.3427133,-76.9287966,0
42.3427519,-76.9287926,0
42.3427906,-76.9287886,0
42.34281,-76.9287866,0
42.3428197,-76.9287859,0
42.3428583,-76.9287833,0
42.3428583,-76.9287833,0
42.3428873,-76.9287803,0
42.3429066,-76.9287783,0
42.3429163,-76.9287773,START(0 128 255):TURN 1
42.342955,-76.9287733,0
42.342955,-76.9287733,0
42.342984,-76.9287703,0
42.3430033,-76.9287683,0
42.343013,-76.9287673,0
42.3430516,-76.9287633,0
42.3430516,-76.9287633,0
42.3430796,-76.9287613,0
42.3430983,-76.92876,0
42.3431076,-76.928759,0
42.343145,-76.928755,0
42.343145,-76.928755,0
42.343172,-76.928752,0
42.34319,-76.92875,0
42.343199,-76.9287493,0
42.343235,-76.9287466,0
42.343235,-76.9287466,0
42.343261,-76.9287436,0
42.3432783,-76.9287416,0
42.3432783,-76.9287416,0
42.3432783,-76.9287416,0
42.3433117,-76.928739,0
42.343346,-76.9287353,0
42.3433633,-76.9287333,0
42.3433716,-76.9287326,0
42.343405,-76.92873,0
42.343405,-76.92873,0
42.343429,-76.928727,0
42.343445,-76.928725,0
42.343453,-76.9287243,0
42.343485,-76.9287216,0
42.343485,-76.9287216,0
42.343508,-76.9287186,0
42.3435233,-76.9287166,0
42.343531,-76.9287159,0
42.3435616,-76.9287133,0
42.3435616,-76.9287133,0
42.3435616,-76.9287133,0
42.3435763,-76.9287113,0
42.3435983,-76.9287083,0
42.3435983,-76.9287083,0
42.3436277,-76.9287057,0
42.343635,-76.928705,0
42.343649,-76.928703,0
42.34367,-76.9287,0
42.34367,-76.9287,0
42.343698,-76.928696,0
42.343705,-76.928695,0
42.3437183,-76.928693,0
42.3437383,-76.92869,0
42.3437383,-76.92869,0
42.3437649,-76.9286846,0
42.3437716,-76.9286833,0
42.3437843,-76.92868,0
42.3438033,-76.928675,0
42.3438033,-76.928675,0
42.3438273,-76.9286683,0
42.3438333,-76.9286666,0
42.3438453,-76.9286626,0
42.3438633,-76.9286566,0
42.3438633,-76.9286566,0
42.3438859,-76.9286486,0
42.3438916,-76.9286466,0
42.3439036,-76.928642,0
42.3439216,-76.928635,0
42.3439216,-76.928635,0
42.3439443,-76.928623,0
42.34395,-76.92862,0
42.3439606,-76.928614,0
42.3439766,-76.928605,0
42.3439766,-76.928605,0
42.3439993,-76.9285916,0
42.344005,-76.9285883,0
42.3440156,-76.928581,0
42.3440366,-76.9285653,0
42.3440566,-76.9285466,0
42.3440566,-76.9285466,0
42.3440566,-76.9285466,0
42.344066,-76.9285366,0
42.34408,-76.9285216,0
42.34408,-76.9285216,0
42.3440973,-76.9285016,0
42.3441016,-76.9284966,0
42.3441103,-76.9284846,0
42.344127,-76.9284599,0
42.3441416,-76.9284333,0
42.3441416,-76.9284333,0
42.3441416,-76.9284333,0
42.3441496,-76.9284206,0
42.3441616,-76.9284016,0
42.3441616,-76.9284016,0
42.344175,-76.9283723,0
42.3441783,-76.928365,0
42.3441856,-76.9283503,0
42.3441986,-76.92832,0
42.3442066,-76.9282866,0
42.3442066,-76.9282866,0
42.3442156,-76.9282636,0
42.3442216,-76.9282483,0
42.3442246,-76.928241,0
42.3442366,-76.9282116,0
42.3442366,-76.9282116,0
42.3442446,-76.9281876,0
42.34425,-76.9281716,0
42.3442523,-76.9281636,0
42.3442616,-76.9281316,0
42.3442616,-76.9281316,0
42.3442676,-76.9281076,0
42.3442716,-76.9280916,0
42.3442739,-76.9280836,0
42.3442833,-76.9280516,0
42.3442833,-76.9280516,0
42.3442893,-76.9280266,0
42.3442933,-76.92801,0
42.3442946,-76.9280017,0
42.3443,-76.9279683,0
42.3443,-76.9279683,0
42.344303,-76.9279423,0
42.344305,-76.927925,0
42.344305,-76.927925,0
42.344305,-76.927925,0
42.344309,-76.9278916,0
42.344311,-76.9278573,0
42.3443116,-76.92784,0
42.3443123,-76.9278313,0
42.344315,-76.9277966,0
42.344315,-76.9277966,0
42.344316,-76.9277706,0
42.3443166,-76.9277533,0
42.3443166,-76.9277446,0
42.3443166,-76.92771,0
42.3443166,-76.92771,0
42.3443156,-76.927684,0
42.344315,-76.9276666,0
42.344315,-76.9276576,0
42.344315,-76.9276216,0
42.344315,-76.9276216,0
42.344314,-76.9275956,0
42.3443133,-76.9275783,0
42.3443126,-76.9275696,0
42.34431,-76.927535,0
42.34431,-76.927535,0
42.344307,-76.927509,STOP(0 128 255)
42.344305,-76.9274916,0
42.3443043,-76.9274829,0
42.3443016,-76.9274483,0
42.3443016,-76.9274483,0
42.3442986,-76.9274213,0
42.3442966,-76.9274033,0
42.3442953,-76.9273946,0
42.34429,-76.92736,0
42.34429,-76.92736,0
42.344287,-76.927333,0
42.344285,-76.927315,0
42.3442837,-76.9273063,0
42.3442783,-76.9272716,0
42.3442783,-76.9272716,0
42.3442733,-76.9272446,0
42.34427,-76.9272266,0
42.3442687,-76.9272176,0
42.3442633,-76.9271816,0
42.3442633,-76.9271816,0
42.3442593,-76.9271546,0
42.3442566,-76.9271366,0
42.3442549,-76.9271279,0
42.3442483,-76.9270933,0
42.3442483,-76.9270933,0
42.3442433,-76.9270653,0
42.34424,-76.9270466,0
42.344238,-76.9270376,0
42.34423,-76.9270016,0
42.34423,-76.9270016,0
42.344225,-76.9269746,0
42.3442216,-76.9269566,0
42.3442196,-76.9269476,0
42.3442116,-76.9269116,0
42.3442116,-76.9269116,0
42.3442066,-76.9268846,0
42.3442033,-76.9268666,0
42.3442013,-76.9268573,0
42.3441933,-76.92682,0
42.3441933,-76.92682,0
42.3441873,-76.926793,0
42.3441833,-76.926775,0
42.3441816,-76.9267657,0
42.344175,-76.9267283,0
42.344175,-76.9267283,0
42.344169,-76.9267003,0
42.344165,-76.9266816,0
42.344163,-76.9266723,0
42.344155,-76.926635,0
42.344155,-76.926635,0
42.34415,-76.926607,0
42.3441466,-76.9265883,0
42.3441449,-76.9265786,0
42.3441383,-76.92654,0
42.3441383,-76.92654,0
42.3441383,-76.92654,0
42.344135,-76.9265213,0
42.34413,-76.9264933,0
42.34413,-76.9264933,0
42.344122,-76.9264547,0
42.34412,-76.926445,0
42.3441173,-76.9264256,0
42.3441133,-76.9263966,0
42.3441133,-76.9263966,0
42.3441053,-76.926358,0
42.3441033,-76.9263483,0
42.3441,-76.926329,0
42.344095,-76.9263,0
42.344095,-76.9263,0
42.3440883,-76.92626,0
42.3440866,-76.92625,0
42.3440833,-76.9262306,0
42.3440783,-76.9262016,0
42.3440783,-76.9262016,0
42.3440729,-76.9261616,0
42.3440716,-76.9261516,0
42.3440683,-76.9261316,0
42.3440633,-76.9261016,0
42.3440633,-76.9261016,0
42.3440579,-76.926063,0
42.3440566,-76.9260533,0
42.3440533,-76.9260326,0
42.3440483,-76.9260016,0
42.3440483,-76.9260016,0
42.3440429,-76.9259616,0
42.3440416,-76.9259516,0
42.344039,-76.9259316,0
42.3440333,-76.9258913,0
42.3440266,-76.92585,0
42.3440266,-76.92585,0
42.3440226,-76.925819,0
42.34402,-76.9257983,0
42.3440187,-76.9257883,0
42.3440133,-76.9257483,0
42.3440133,-76.9257483,0
