#latitude,longitude,control
samplerate,1
45.3017263,-76.6720115,START(0 128 255):Turn 1
45.3017366228522,-76.6721715231868,0
45.3017475228521,-76.6723325231847,0
45.301759,-76.6724945,0
45.3017798228536,-76.6726305731809,0
45.3018018,-76.6727686,0
45.3018354228592,-76.6728969231775,0
45.3018702,-76.6730272,0
45.3019445,-76.6732202,0
45.3020382,-76.6733976,0
45.30215,-76.673556,0
45.3022783,-76.6736926,0
45.3023672229127,-76.6737629231665,0
45.3024573,-76.6738352,0
45.302574122961,-76.6739050731647,0
45.3026921,-76.6739769,0
45.3028167229746,-76.6740336231631,STOP(0 128 255)
45.3029425,-76.6740923,0
45.3030457896904,-76.6741238564952,0
45.3031496563557,-76.6741563898282,0
45.3032541,-76.6741899,0
45.3033618563698,-76.6742122231608,SPLIT:Exit of 1
45.3034701897017,-76.6742355231605,0
45.3035791,-76.6742598,0
45.3036746896552,-76.6742677564934,0
45.3037708563207,-76.6742766898266,0
45.3038676,-76.6742866,0
45.3039656229932,-76.6742804231599,0
45.3040642229919,-76.67427522316,0
45.3041634,-76.674271,0
45.3042621229919,-76.6742523231603,0
45.3043614229906,-76.6742346231605,0
45.3044613,-76.6742179,0
45.3045602896557,-76.6741856231611,0
45.3046598563211,-76.6741543231615,0
45.30476,-76.674124,0
45.3048604730805,-76.6740813981625,0
45.3049615231693,-76.674039773163,0
45.3050625730779,-76.6739981481635,0
45.3051642,-76.6739575,0
45.3052651896538,-76.673903656498,0
45.3053667563192,-76.6738507898321,0
45.3054689,-76.6737989,0
45.3055690896471,-76.6737335231669,0
45.3056698563124,-76.6736691231677,0
45.3057712,-76.6736057,0
45.3058541479823,-76.6735401231693,0
45.3059376730427,-76.6734755231702,0
45.3060211979801,-76.673410923171,0
45.3061053,-76.6733473,0
45.3061813630007,-76.6732768031727,SPLIT:Into Crown
45.3062580031034,-76.6732072831736,0
45.3063346431024,-76.6731377631745,0
45.3064112829978,-76.6730682431754,0
45.3064885,-76.6729997,START(0 128 255):Crown
45.3065700229669,-76.6729165231773,0
45.3066521230253,-76.6728343231783,0
45.3067342229648,-76.6727521231794,0
45.3068169,-76.6726709,0
45.3068919562187,-76.6725830898482,0
45.3069675895511,-76.672496256516,0
45.3070438,-76.6724104,0
45.3071538,-76.6722418,0
45.3072234,-76.6720918,0
45.3072879,-76.6718842,0
45.3073216,-76.6717032,0
45.3073362,-76.6715099,0
45.3073264,-76.6712575,0
45.3073064727825,-76.6711301232,0
45.3072877,-76.6710047,0
45.307235,-76.6708106,0
45.3071641,-76.6706269,0
45.3070738,-76.670456,STOP(0 128 255)
45.3070056228233,-76.6703594232099,0
45.3069386,-76.6702648,0
45.3068505728524,-76.6701685732123,0
45.3067637,-76.6700743,START(0 128 255):Beak
