#latitude,longitude,control
samplerate,10
42.487865,-76.263443,0
42.487873,-76.263458,0
42.487873,-76.263466,0
42.487881,-76.263481,0
42.487892,-76.263496,0
42.487892,-76.263512,0
42.4879,-76.263519,0
42.487907,-76.263535,0
42.487907,-76.263542,0
42.487915,-76.263557,0
42.487923,-76.263573,0
42.487923,-76.263588,0
42.48793,-76.263603,0
42.48793,-76.263618,0
42.487938,-76.263634,0
42.487949,-76.263649,0
42.487957,-76.263664,0
42.487957,-76.26368,0
42.487965,-76.263695,0
42.487972,-76.263718,0
42.48798,-76.263741,0
42.48798,-76.263756,0
42.48798,-76.263756,0
42.487988,-76.263771,0
42.487995,-76.263786,0
42.488003,-76.263802,0
42.488003,-76.263824,0
42.488014,-76.26384,0
42.488022,-76.263863,0
42.488029,-76.263885,0
42.488037,-76.263901,0
42.488045,-76.263924,0
42.488052,-76.263939,0
42.488052,-76.263962,0
42.48806,-76.263985,0
42.488071,-76.264008,0
42.488079,-76.264023,0
42.488087,-76.264046,0
42.488094,-76.264069,0
42.488102,-76.264084,0
42.48811,-76.264114,0
42.488117,-76.264137,0
42.488125,-76.26416,0
42.488136,-76.264183,0
42.488144,-76.264198,0
42.488152,-76.264229,0
42.488167,-76.264252,0
42.488174,-76.264275,0
42.488182,-76.264297,0
42.488194,-76.26432,0
42.488201,-76.264351,0
42.488209,-76.264374,0
42.488216,-76.264397,0
42.488224,-76.26442,0
42.488239,-76.264442,0
42.488247,-76.264473,0
42.488258,-76.264503,0
42.488266,-76.264526,0
42.488274,-76.264549,0
42.488281,-76.264572,0
42.488297,-76.26461,0
42.488304,-76.264633,0
42.488316,-76.264656,0
42.488323,-76.264687,0
42.488338,-76.264717,0
42.488346,-76.26474,0
42.488354,-76.264771,0
42.488361,-76.264793,0
42.48838,-76.264824,0
42.488388,-76.264854,0
42.488396,-76.264885,0
42.488411,-76.264908,0
42.488419,-76.264938,0
42.488426,-76.264977,0
42.488445,-76.264999,0
42.488453,-76.26503,0
42.488461,-76.265053,0
