#latitude,longitude,control
samplerate,1
25.45371164,-80.40978475,0
25.45368932,-80.40983389,0
25.45366685,-80.40988326,0
25.45364424,-80.40993287,0
25.45362148,-80.40998274,0
25.45359865,-80.41003282,0
25.45357578,-80.4100831,0
25.45355288,-80.41013357,0
25.45352999,-80.41018424,0
25.4535071,-80.41023511,0
25.4534842,-80.41028615,0
25.45346127,-80.41033735,0
25.45343828,-80.41038871,0
25.45341521,-80.41044024,START(0 128 255):Turn 1
25.45339198,-80.41049197,0
25.45336861,-80.41054386,0
25.45334509,-80.41059589,0
25.4533214,-80.41064804,0
25.45329753,-80.41070033,0
25.4532734,-80.41075269,0
25.45324905,-80.41080511,0
25.45322443,-80.41085756,0
25.45319949,-80.41091,0
25.45317417,-80.41096243,0
25.45314823,-80.41101479,0
25.45312173,-80.41106701,0
25.45309455,-80.41111902,0
25.45306663,-80.41117072,0
25.45303781,-80.41122198,0
25.45300775,-80.41127242,0
25.45297663,-80.41132207,0
25.45294438,-80.4113708,0
25.45291097,-80.41141854,0
25.45287634,-80.4114652,0
25.45284029,-80.41151061,0
25.45280326,-80.41155515,0
25.45276534,-80.41159889,0
25.45272663,-80.41164189,0
25.45268718,-80.41168418,0
25.45264701,-80.41172556,0
25.45260633,-80.41176617,0
25.45256514,-80.41180588,0
25.45252347,-80.41184459,0
25.45248128,-80.41188216,0
25.45243852,-80.41191828,0
25.45239535,-80.41195325,0
25.45235187,-80.41198712,0
25.45230817,-80.41201994,0
25.45226435,-80.41205169,STOP(0 128 255)
25.45222069,-80.41208225,0
25.45217733,-80.41211187,0
25.45213444,-80.41214053,0
25.45209215,-80.4121682,0
25.45205062,-80.41219481,0
25.45201016,-80.41222004,0
25.45197061,-80.41224418,0
25.45193198,-80.41226727,0
25.45189428,-80.41228934,SPLIT:Into 2
25.45185756,-80.41231038,0
25.45182203,-80.41233032,0
25.45178744,-80.41234948,0
25.45175379,-80.41236792,0
25.4517211,-80.41238568,0
25.45168944,-80.41240278,0
25.45165902,-80.4124191,START(0 128 255):Turn 2
25.45162949,-80.41243483,0
25.45160087,-80.41244998,0
