#latitude,longitude,control
samplerate,1
39.7932027,-86.2388783,0
39.7932956020594,-86.2388786263057,0
39.7933890109623,-86.2388800513057,0
39.7934824197384,-86.2388814763057,0
39.7935758283877,-86.2388829013057,0
39.7936692369101,-86.2388843263056,0
39.7937626453057,-86.2388857513056,0
39.7938560535744,-86.2388871763056,0
39.7939494617163,-86.2388886013056,0
39.7940428697313,-86.2388900263056,0
39.7941362776195,-86.2388914513056,0
39.7942296853808,-86.2388928763055,0
39.7943236,-86.2388954,0
39.7944131704297,-86.2388965973055,0
39.7945032477262,-86.2388988933055,0
39.7945933249047,-86.2389011893054,0
39.7946834019653,-86.2389034853054,0
39.7947734789078,-86.2389057813054,0
39.7948635557325,-86.2389080773054,0
39.7949536324391,-86.2389103733053,0
39.7950437090278,-86.2389126693053,0
39.7951337854985,-86.2389149653053,0
39.7952238618513,-86.2389172613052,0
39.7953139380861,-86.2389195573052,0
39.7954040142029,-86.2389218533052,0
39.7954940902017,-86.2389241493051,0
39.7955841660826,-86.2389264453051,0
39.7956742418455,-86.2389287413051,0
39.7957643174905,-86.2389310373051,0
39.7958543930175,-86.238933333305,0
39.7959444684265,-86.238935629305,0
39.7960345437176,-86.238937925305,0
39.7961246188907,-86.2389402213049,0
39.7962146939458,-86.2389425173049,0
39.7963047688829,-86.2389448133049,0
39.7963948437021,-86.2389471093048,0
39.7964849184033,-86.2389494053048,0
39.7965755,-86.2389528,0
39.7966710937239,-86.2389548263047,0
39.7967671943269,-86.2389579513047,0
39.7968632947957,-86.2389610763047,0
39.7969593951302,-86.2389642013046,0
39.7970554953304,-86.2389673263046,SPLIT:Into 1
39.7971515953963,-86.2389704513046,0
39.7972476953279,-86.2389735763045,0
39.7973437951253,-86.2389767013045,0
39.7974398947883,-86.2389798263044,0
39.7975359943171,-86.2389829513044,0
39.7976320937116,-86.2389860763043,0
39.7977287,-86.2389903,0
39.7978209135332,-86.2389922313043,0
39.7979136339696,-86.2389952613042,0
39.7980063542809,-86.2389982913042,START(0 128 255):Turn 1
39.7980990744672,-86.2390013213042,0
39.7981917945285,-86.2390043513041,0
39.7982845144649,-86.2390073813041,0
39.7983772342762,-86.239010411304,0
39.7984699539625,-86.239013441304,0
39.7985626735238,-86.239016471304,0
39.7986559,-86.2390206,0
39.7987752930631,-86.239011151304,0
39.7988957,-86.2390039,0
39.7989551,-86.2389921,0
39.7990027,-86.2389773,0
39.7990262,-86.2389666,0
39.7990473,-86.2389522,0
39.7990848,-86.2389159,0
39.799119,-86.2388753,0
39.7991352,-86.2388522,0
39.7991493,-86.2388272,0
39.799175,-86.2387754,0
39.7991991,-86.2387162,0
39.7992181,-86.2386536,0
39.799231,-86.2385886,0
39.7992352,-86.2385219,0
39.7992347,-86.2384504,STOP(0 128 255)
39.7992278,-86.2382352,START(0 128 255):Turn 2
39.7992338,-86.2381651,0
39.7992464,-86.2380984,0
39.79927,-86.2380202,0
39.799302,-86.2379439,0
39.79934,-86.2378754,0
39.7993856,-86.2378135,0
39.7994366,-86.2377622,0
39.7994968,-86.2377181,0
39.7995835,-86.2376732,0
39.7996831,-86.2376411,0
39.7998166430759,-86.2376358013216,STOP(0 128 255)
39.7999512,-86.2376327,0
39.8001138,-86.2376169,0
39.8002796,-86.2375709,0
39.8004437,-86.2374986,0
39.8005240929838,-86.237445451324,0
39.8006055,-86.2373945,0
39.8007268,-86.237286,0
39.8008106,-86.2371885,0
39.8008867429744,-86.2370754013287,0
39.8009639,-86.2369645,START(0 128 255):Turn 4
39.8010301929623,-86.2368420513317,0
39.8010975,-86.2367218,0
39.8011459929458,-86.2366069513347,0
39.8011955,-86.2364943,0
39.8012278,-86.2363958,0
39.8012508,-86.2363052,0
39.8012598,-86.2362491,0
39.8012631,-86.2361964,0
39.8012611,-86.2361421,0
39.8012539,-86.2360883,0
39.801242,-86.236036,0
39.8012246,-86.235983,0
39.8011963,-86.235917,0
39.8011602,-86.2358493,0
39.801053,-86.2356987,0
39.8009566,-86.2355949,0
39.800901,-86.2355515,STOP(0 128 255)
39.8008395,-86.235513,0
39.8006764,-86.235441,0
39.8005365,-86.2354132,0
39.800432993246,-86.2354107213499,0
39.8003299934016,-86.2354093413499,0
39.8002269934029,-86.2354079613499,0
39.8001239932499,-86.2354065813499,START(0 128 255):Turn 5
39.8000215,-86.2354063,0
39.7998692,-86.2354225,0
39.7997934,-86.2354405,0
39.7997178,-86.2354655,0
