#latitude,longitude,control
samplerate,0
41.92853768,-73.3806933,0
41.92853768,-73.3806933,0
41.92853768,-73.3806933,0
41.9285197,-73.38064036,0
41.92850188,-73.38058789,0
41.92848386,-73.38053483,0
41.92846582,-73.38048171,0
41.92844795,-73.38042904,0
41.92842989,-73.38037576,0
41.92841183,-73.3803224,0
41.92839377,-73.38026893,0
41.92837589,-73.38021592,0
41.92835785,-73.38016228,0
41.92833983,-73.38010853,0
41.92832204,-73.38005521,0
41.9283041,-73.3800012,0
41.92828621,-73.37994704,0
41.92826852,-73.3798933,0
41.92825067,-73.37983891,0
41.92823282,-73.37978447,0
41.92821513,-73.37973063,0
41.92819726,-73.37967646,0
41.92817941,-73.37962262,0
41.92816161,-73.37956921,START(0 128 255):Turn 1
41.92814411,-73.37951704,0
41.92812664,-73.37946521,0
41.9281094,-73.37941422,0
41.9280926,-73.37936463,0
41.92807591,-73.37931546,SPEECHTAG:into1:brake 1
41.92805959,-73.37926743,0
41.92804378,-73.37922097,0
41.92802808,-73.37917497,0
41.92801266,-73.37912989,0
41.92799764,-73.37908615,0
41.92798275,-73.37904302,0
41.9279681,-73.37900083,0
41.92795365,-73.37895949,0
41.92793951,-73.37891939,0
41.92792537,-73.37887972,0
41.92791136,-73.37884109,0
41.92789755,-73.37880374,0
41.92788361,-73.37876681,0
41.92786966,-73.37873063,0
41.92785584,-73.37869551,0
41.92784183,-73.37866084,0
41.92782779,-73.37862684,0
41.92781373,-73.37859345,0
41.92779978,-73.37856101,0
41.92778566,-73.3785289,0
41.92777144,-73.37849774,0
41.92775721,-73.37846776,0
41.92774262,-73.37843832,0
41.92772776,-73.37840976,0
41.92771274,-73.37838233,0
41.92769703,-73.37835564,0
41.92768082,-73.3783297,0
41.92766428,-73.37830467,0
41.92764702,-73.37828,0
41.92762919,-73.37825594,0
41.92761055,-73.37823271,0
41.92759144,-73.37821042,0
41.9275715,-73.37818866,0
41.92755091,-73.37816775,0
41.92752992,-73.37814791,0
41.92750795,-73.37812915,0
41.92748547,-73.37811139,0
41.92746276,-73.37809482,0
41.9274394,-73.37807913,0
41.92741565,-73.37806452,0
41.92739171,-73.37805147,0
41.92736723,-73.37803936,0
41.92734249,-73.37802837,0
41.9273175,-73.3780185,0
41.92729253,-73.37800987,0
41.92726707,-73.37800261,0
41.92724143,-73.37799648,0
41.9272159,-73.37799155,0
41.92718998,-73.37798771,0
41.92716392,-73.37798509,0
41.92713801,-73.37798395,0
41.92711177,-73.37798394,0
41.9270855,-73.37798506,0
41.92705947,-73.37798729,0
41.9270332,-73.37799076,0
41.92700704,-73.37799568,0
41.92698101,-73.37800176,0
41.92695541,-73.37800895,0
41.92692975,-73.3780174,0
41.92690436,-73.37802715,0
41.92687957,-73.37803826,0
41.92685483,-73.37805063,0
41.9268304,-73.37806411,0
41.92680654,-73.3780785,0
41.9267828,-73.37809419,0
41.92675948,-73.37811105,0
41.92673674,-73.37812866,0
41.92671413,-73.37814733,STOP(0 128 255)
41.92669191,-73.37816688,0
41.92667014,-73.37818743,0
41.92664914,-73.3782088,0
41.92662842,-73.37823124,0
41.92660823,-73.37825456,0
41.9265888,-73.37827848,0
41.9265699,-73.37830363,0
41.92655179,-73.37832975,START(0 128 255):Turn 2
41.92653457,-73.3783564,0
41.92651792,-73.3783841,0
41.92650206,-73.37841255,0
41.92648729,-73.37844156,0
41.92647336,-73.37847163,0
41.9264603,-73.37850235,0
41.92644813,-73.37853368,0
41.92643697,-73.37856524,0
41.92642681,-73.37859775,0
41.92641772,-73.37863075,0
41.92640968,-73.37866381,0
41.92640254,-73.37869757,0
41.9263964,-73.37873167,0
41.92639155,-73.37876579,0
41.92638783,-73.37880056,0
41.92638516,-73.3788356,0
41.92638355,-73.37887052,0
41.92638296,-73.37890601,0
41.92638365,-73.37894172,0
41.9263854,-73.37897753,0
41.92638806,-73.37901303,0
41.92639165,-73.3790489,0
41.92639614,-73.37908474,0
41.92640166,-73.37912013,0
41.92640815,-73.37915576,0
41.92641548,-73.37919125,0
41.92642355,-73.37922623,0
41.92643253,-73.37926138,0
41.92644256,-73.37929625,0
41.9264534,-73.37933083,STOP(0 128 255)
41.9264649,-73.37936476,0
41.92647725,-73.37939872,0
41.92649033,-73.37943234,0
41.92650416,-73.37946517,0
41.92651877,-73.37949801,0
41.92653395,-73.37953056,0
41.92654949,-73.37956256,0
41.92656564,-73.37959471,0
41.92658226,-73.37962674,0
41.92659895,-73.37965846,0
41.92661598,-73.37969058,0
41.92663313,-73.37972282,0
41.92665034,-73.37975524,0
41.92666737,-73.37978767,SPLIT:Into Left Hander
41.92668453,-73.37982072,0
41.92670164,-73.37985409,0
41.92671853,-73.37988746,0
41.92673552,-73.3799215,0
41.92675243,-73.37995595,0
41.92676909,-73.37999026,START(0 128 255):Turn 3 - Left Hander
41.92678581,-73.38002504,0
41.92680238,-73.38005983,0
41.92681856,-73.38009412,0
41.92683451,-73.38012827,0
41.92685001,-73.38016182,0
41.92686498,-73.38019463,0
41.92687922,-73.3802263,0
41.92689286,-73.38025731,0
41.92690555,-73.38028717,0
41.92691735,-73.38031595,0
41.9269285,-73.38034435,0
41.92693889,-73.38037224,0
41.9269484,-73.38039951,0
41.92695715,-73.38042695,0
41.92696523,-73.38045449,0
41.92697257,-73.38048195,0
41.92697931,-73.38050996,0
41.92698525,-73.38053832,0
41.92699027,-73.38056709,0
41.92699445,-73.38059588,0
41.92699786,-73.38062526,0
41.92700042,-73.38065489,0
41.92700202,-73.38068447,0
41.92700264,-73.38071452,0
41.92700247,-73.38074469,0
