#latitude,longitude,control
samplerate,1
32.522508,-97.6157483,0
32.5224225857808,-97.615821506362,START(0 128 255):Turn 2
32.5223375858221,-97.6158959563611,0
32.522252585783,-97.6159704063601,0
32.522168,-97.6160461,0
32.5221005356893,-97.6161180063582,0
32.5220339,-97.6161924,0
32.5219454,-97.6163236,0
32.5218813,-97.6164591,0
32.5218358,-97.6166172,0
32.5218234,-97.6166853,0
32.5218165,-97.6167525,STOP(0 128 255)
32.5218154,-97.6168215,0
32.52182,-97.616888,0
32.5218285,-97.6169396,0
32.5218422,-97.6169889,0
32.5218644,-97.617043,0
32.5218926,-97.6170942,0
32.5219596,-97.6171739,START(0 128 255):Turn 3
32.5220108,-97.6172233,0
32.5220588,-97.6172742,0
32.5220851,-97.6173171,0
32.522104,-97.6173616,0
32.5221172,-97.6174095,0
32.5221238,-97.617459,0
32.5221241,-97.6175081,0
32.5221162,-97.6175609,0
32.5220843,-97.6176527,0
32.5220413,-97.6177515,STOP(0 128 255)
32.5219951356773,-97.6178496063362,0
32.5219498,-97.6179502,0
32.521927,-97.6180223,0
32.5219112,-97.6180923,0
32.5219005,-97.6181634,0
32.521896,-97.6182346,0
32.5218982,-97.6183042,0
32.521907,-97.6183729,0
32.5219447,-97.6185046,0
32.5219797,-97.6185925,0
32.5220117,-97.6186804,START(0 128 255):Turn 4
32.522025,-97.6187458,0
32.5220299,-97.6188089,0
32.522027,-97.6188716,0
32.5220162,-97.6189327,0
32.5219972,-97.6189901,0
32.5219708,-97.6190444,0
32.5219375,-97.6190949,0
32.5218981,-97.619141,0
32.5218531,-97.6191824,0
32.5218032,-97.619218,0
32.5217488,-97.6192474,0
32.5216908,-97.6192694,0
32.5216293,-97.6192832,0
32.5215662,-97.6192883,0
32.5215016,-97.619284,0
32.5214379,-97.6192703,0
32.5213753,-97.6192463,0
32.5213159,-97.6192133,0
32.5212602,-97.6191711,0
32.5212087,-97.61912,0
32.5211539,-97.6190501,0
32.5211059,-97.6189711,0
32.5210671,-97.6188846,0
32.5210367,-97.6187889,0
32.5210102,-97.6186643,0
32.5209921,-97.6185076,0
32.5209899456786,-97.6183944963292,STOP(0 128 255)
32.5209882056787,-97.6182826363307,0
32.5209864656789,-97.6181707763321,0
32.5209847256789,-97.6180589163335,0
32.520982985679,-97.6179470563349,0
32.520981245679,-97.6178351963364,0
32.5209795056789,-97.6177233363378,0
32.5209777656789,-97.6176114763392,0
32.5209760256788,-97.6174996163406,0
32.5209747,-97.617389,0
32.520975219012,-97.6172737730102,START(0 128 255):Turn 11
32.5209761523453,-97.6171597896783,0
32.5209770856786,-97.6170458063464,0
32.520978019012,-97.6169318230145,0
32.5209789523453,-97.6168178396827,0
32.5209803,-97.6167051,0
32.520999,-97.6165413,0
32.5210286,-97.6163953,0
32.5210716,-97.616249,0
32.5211253,-97.6161105,0
32.5211812,-97.6159964,0
32.5212471,-97.6158878,0
32.5213324,-97.6157709,0
32.5214346,-97.6156543,0
32.5215177107882,-97.6155797563651,STOP(0 128 255)
32.5216012358259,-97.615506456366,0
32.5216847607861,-97.615433156367,0
32.5217687,-97.6153611,0
32.521851106011,-97.6153001163687,0
32.5219339262771,-97.6152403763694,0
32.5220167464669,-97.6151806363702,0
32.5220995665803,-97.615120896371,0
32.5221823866174,-97.6150611563717,0
32.5222652065782,-97.6150014163725,0
32.5223480264626,-97.6149416763732,0
32.5224308462708,-97.614881936374,0
32.5225136660025,-97.6148221963748,0
32.5225969,-97.6147637,0
32.5226753970453,-97.6146997785985,0
32.5227543083633,-97.6146371008216,0
32.522833219612,-97.6145744230446,0
32.5229121307914,-97.6145117452676,SPLIT:Into 12
32.5229910419015,-97.6144490674906,0
32.5230699529423,-97.6143863897136,0
32.5231488639138,-97.6143237119367,0
32.523227774816,-97.6142610341597,0
