#latitude,longitude,control
samplerate,1
49.1265421,-122.3250872,0
49.1265763617071,-122.325215816561,0
49.126611249268,-122.32534599156,0
49.1266461368044,-122.325476166558,0
49.1266810243162,-122.325606341556,0
49.1267159118035,-122.325736516555,0
49.1267507992662,-122.325866691553,0
49.1267856867044,-122.325996866551,0
49.1268212,-122.3261286,0
49.1268584492188,-122.326254691548,0
49.1268963242907,-122.326382341546,0
49.1269341993336,-122.326509991545,0
49.1269720743476,-122.326637641543,0
49.1270099493326,-122.326765291541,0
49.1270478242887,-122.32689294154,0
49.1270856992159,-122.327020591538,0
49.1271242,-122.3271498,0
49.1271639171842,-122.327279841535,0
49.1272042602213,-122.327411441533,0
49.1272446032257,-122.327543041532,0
49.1272849461972,-122.32767464153,SPLIT:Into 1
49.1273252891359,-122.327806241528,0
49.1273656320418,-122.327937841527,0
49.1274059749148,-122.328069441525,0
49.127446317755,-122.328201041523,0
49.1274866605624,-122.328332641522,0
49.127527003337,-122.32846424152,0
49.1275673460787,-122.328595841518,START(0 128 255):Turn 1
49.1276076887876,-122.328727441516,0
49.1276480314637,-122.328859041515,0
49.127689,-122.3289922,0
49.1277182,-122.3290642,0
49.1277444,-122.3291126,0
49.1277715,-122.3291513,0
49.1278017,-122.3291832,0
49.1278333,-122.3292071,0
49.1278672,-122.3292239,0
49.127901,-122.3292315,0
49.1279352,-122.3292313,0
49.1279689,-122.3292219,0
49.1280009,-122.329205,0
49.1280321,-122.3291799,0
49.1280601,-122.3291487,0
49.128086,-122.3291098,0
49.1281077,-122.3290663,0
49.1281259,-122.3290165,0
49.1281394,-122.3289638,0
49.1281488,-122.3289075,0
49.1281532,-122.3288479,0
49.1281523,-122.3287719,0
49.1281445,-122.3286932,0
49.1281293,-122.3286158,0
49.1281067,-122.3285375,0
49.1280294,-122.3283525,0
49.1279673342557,-122.328224281523,STOP(0 128 255)
49.1279058943326,-122.328097621524,0
49.1278444543334,-122.327970961526,0
49.1277830142581,-122.327844301528,0
49.1277222,-122.3277192,0
49.1276478,-122.3275199,START(0 128 255):Turn 2
49.1275946,-122.3273422,0
49.1275671,-122.3272221,0
49.1275513,-122.3271134,0
49.1275469,-122.3270306,0
49.1275502,-122.3269544,0
49.1275593,-122.3268941,0
49.1275743,-122.3268381,0
49.1275943,-122.3267872,0
49.1276195,-122.3267405,0
49.1276476,-122.3267016,0
49.1276799,-122.3266686,0
49.1277145,-122.326644,0
49.1277522,-122.3266267,0
49.1277914,-122.3266178,0
49.1278326,-122.3266177,0
49.1278829,-122.3266308,0
49.1279325,-122.326655,0
49.1279803,-122.3266905,0
49.1280261,-122.3267384,0
49.1280933,-122.3268339,0
49.1281563,-122.3269454,0
49.1282091,-122.3270559,0
49.1282549,-122.3271786,STOP(0 128 255)
49.1283066,-122.3273696,0
49.1283505,-122.3275887,0
49.1283705491112,-122.327751341529,SPLIT:Exit of 2
49.1283912241153,-122.327915541527,0
49.1284118991107,-122.328079741525,0
49.1284332,-122.3282455,0
49.1284610241053,-122.32843419152,0
49.1284901,-122.328626,0
49.1285023407666,-122.328767141516,0
49.1285152074331,-122.328909841514,0
49.1285287,-122.3290541,0
49.1285422741063,-122.329196874844,0
49.1285564741122,-122.329341208175,0
49.1285706741141,-122.329485541507,0
49.1285848741118,-122.329629874838,0
49.1285990741056,-122.32977420817,0
49.1286139,-122.3299201,0
49.1286284616113,-122.330071378999,START(0 128 255):Turn 3
49.1286436491227,-122.330224216497,0
49.1286588366295,-122.330377053995,0
49.1286740241317,-122.330529891493,0
49.1286892116292,-122.330682728992,0
49.128704399122,-122.33083556649,0
49.1287195866102,-122.330988403988,0
49.1287354,-122.3311428,0
49.1287338,-122.331218,0
49.1287258,-122.3312733,0
49.1287182,-122.3313052,0
49.1287083,-122.3313349,0
49.1286962,-122.3313625,0
49.1286755,-122.3313978,0
49.1286506,-122.3314279,0
49.1286245,-122.3314501,0
49.1285946,-122.3314659,0
49.1285561,-122.3314746,0
49.1285152,-122.3314741,0
49.1284729,-122.3314624,0
49.128431,-122.3314406,0
49.1283822,-122.3314028,0
49.1283333,-122.3313505,0
49.1282565,-122.3312419,0
49.1281785,-122.3311062,0
49.1281132741858,-122.330958141488,0
49.1280486741866,-122.33081164149,STOP(0 128 255)
49.1279847,-122.3306667,0
49.1279339542052,-122.330550201493,0
49.1278838342565,-122.330435261495,0
49.1278337142572,-122.330320321496,SPLIT:Exit of 3
49.1277835942071,-122.330205381498,0
