#latitude,longitude,control
samplerate,1
29.8844847,-90.2006533,0
29.8844327194555,-90.2007411708311,0
29.8843811196164,-90.20083019083,0
29.8843295197505,-90.2009192108288,0
29.884277919858,-90.2010082308277,0
29.8842263199388,-90.2010972508266,0
29.8841747199928,-90.2011862708254,0
29.8841231200202,-90.2012752908243,0
29.8840715200208,-90.2013643108232,0
29.8840199199948,-90.201453330822,0
29.883968319942,-90.2015423508209,0
29.8839167198626,-90.2016313708198,0
29.8838651197564,-90.2017203908186,0
29.8838135196236,-90.2018094108175,0
29.883761919464,-90.2018984308164,0
29.8837107,-90.2019886,0
29.8836575305013,-90.2020839952584,0
29.8836047416969,-90.2021805397016,0
29.8835519528646,-90.2022770841449,0
29.8834991640043,-90.2023736285881,0
29.8834463751161,-90.2024701730313,0
29.8833935862,-90.2025667174745,0
29.8833407972558,-90.2026632619177,0
29.8832880082838,-90.2027598063609,0
29.8832356,-90.2028575,START(0 128 255):TURN 1
29.8831825193819,-90.2029503633029,0
29.8831298194523,-90.2030443758017,0
29.8830771194947,-90.2031383883005,0
29.8830244195093,-90.2032324007993,0
29.8829717194961,-90.2033264132981,0
29.882919019455,-90.2034204257969,0
29.882866319386,-90.2035144382957,0
29.882814,-90.2036096,0
29.8827573,-90.2037467,0
29.8827436,-90.2037992,0
29.8827352,-90.2038505,0
29.8827313,-90.2039032,0
29.882732,-90.2039561,0
29.882737,-90.204009,0
29.8827472,-90.2040636,0
29.882767,-90.2041342,0
29.8827938,-90.2042061,0
29.8828669,-90.2043432,0
29.8829571,-90.2044763,0
29.8830320526766,-90.2045801507822,0
29.883107386009,-90.2046851507808,STOP(0 128 255)
29.8831831,-90.2047913,0
29.8832505,-90.2049202,0
29.8833035,-90.2050475,0
29.8833431,-90.2051668,0
29.8833727,-90.2052877,START(0 128 255):TURN 2
29.8833937,-90.2054161,0
29.8834047,-90.2055469,0
29.8834058,-90.2056796,0
29.8833962,-90.2058157,0
29.8833726,-90.2059734,0
29.8833352,-90.2061361,0
29.8832913859686,-90.2062568840942,0
29.8832479526359,-90.2063788174259,0
29.8832049,-90.2065019,0
29.8831537861709,-90.2065932563121,0
29.8831030530318,-90.2066857618665,0
