GPS_Latitude,GPS_Longitude,Sections,GPS_Speed,Sebring Full Course
27.45025476,-81.35351157,-90:-200:-200,96.640625,
27.45025438,-81.35346766,,96.889175,
27.45025393,-81.35342364,,97.137718,
27.45025337,-81.3533795,,97.366386,
27.45025273,-81.35333529,,97.572685,
27.45025203,-81.35329103,,97.761574,
27.45025125,-81.35324675,,97.823715,
27.45025043,-81.3532029,,97.885231,
27.45024953,-81.35315857,,97.947365,
27.45024857,-81.35311421,,98.009499,
27.45024757,-81.35306979,,98.090904,
27.45024653,-81.35302528,,98.2537,
27.45024546,-81.35298068,,98.482994,
27.45024435,-81.35293594,,98.68866,
27.4502432,-81.35289108,,98.93721,
27.45024203,-81.35284611,,99.18576,
27.45024083,-81.35280105,,99.39579,
27.45023959,-81.35275591,,99.539322,
27.4502383,-81.35271068,,99.725731,
27.45023698,-81.35266584,,99.910278,
27.4502356,-81.35262049,,100.078049,
27.45023415,-81.35257508,,100.220963,
27.45023266,-81.35252961,,100.407372,
27.45023108,-81.35248406,,100.593788,
27.45022945,-81.35243843,,100.761559,
27.45022775,-81.35239273,,100.904472,
27.450226,-81.35234695,,101.090889,
27.45022421,-81.35230111,,101.277298,
27.45022236,-81.35225518,,101.445061,
27.45022048,-81.35220919,,101.587982,
27.45021858,-81.35216314,,101.755753,
27.45021668,-81.35211749,,101.896805,
27.45021475,-81.35207133,,102.065193,
27.45021281,-81.35202509,,102.207489,
27.4502109,-81.35197878,,102.375877,
27.45020901,-81.3519324,,102.518173,
27.45020718,-81.35188596,,102.704582,
27.45020543,-81.35183944,,102.872978,
27.45020381,-81.35179284,,103.015266,
27.45020232,-81.35174615,,103.201683,
27.45020098,-81.35169939,,103.3881,
27.45019978,-81.35165256,,103.574509,
27.45019871,-81.35160564,,103.760918,
27.45019779,-81.35155909,,103.96286,
27.45019695,-81.35151197,,104.194016,
27.45019615,-81.35146475,,104.380424,
27.45019536,-81.35141744,,104.549431,
27.45019458,-81.35137003,,104.691109,
27.45019377,-81.3513225,,104.877518,
27.45019296,-81.35127486,,105.063934,
27.45019216,-81.35122714,,105.250343,
27.45019138,-81.35117934,,105.43676,
27.45019063,-81.35113147,,105.623169,
27.45018997,-81.3510835,,105.809578,
27.45018937,-81.35103546,,105.995987,
27.45018884,-81.35098784,,106.180534,
27.45018834,-81.35093967,,106.366951,
27.45018789,-81.35089141,,106.55336,
27.45018747,-81.35084304,,106.739769,
27.45018707,-81.35079457,,106.926178,
27.45018669,-81.35074602,,107.095818,
27.45018634,-81.35069738,,107.253639,
27.45018603,-81.3506487,,107.423904,
27.45018579,-81.35060007,,107.382477,
27.45018561,-81.35055158,,107.341049,
27.45018548,-81.35050335,,107.159813,
27.4501854,-81.35045548,,106.550255,
27.45018538,-81.35040805,,105.75428,
27.45018542,-81.35036183,,104.734604,
27.45018553,-81.3503158,,103.397408,
27.45018573,-81.35027043,,102.000572,
27.45018605,-81.35022572,,100.598763,
27.4501865,-81.35018165,,98.969528,
27.45018721,-81.35013835,,97.526695,
27.45018816,-81.35009564,,96.221817,
27.45018936,-81.35005345,,94.916939,
27.45019081,-81.35001178,,93.628212,
27.45019253,-81.34997061,,92.385468,
27.45019457,-81.34993007,,91.15889,
27.45019689,-81.34989003,,89.994438,
27.45019944,-81.34985086,,88.902687,
27.4502023,-81.34981176,START:TURN 1,87.861893,
27.45020547,-81.34977311,,86.867691,
27.45020915,-81.34973501,,85.904572,
27.45021328,-81.34969732,,85.050186,
27.45021793,-81.34965998,,84.273476,
27.45022313,-81.34962297,,83.621033,
27.45022892,-81.34958627,,83.077339,
27.45023557,-81.34954991,,82.626846,
27.45024292,-81.34951382,,82.347229,
27.45025097,-81.34947799,,82.129745,
27.45025973,-81.34944242,,81.881195,
27.45026911,-81.34940747,,81.789848,
27.45027955,-81.34937261,,81.603447,
27.45029075,-81.34933811,,81.41703,
27.4503027,-81.34930402,,81.230614,
27.4503154,-81.34927035,,81.029297,
27.45032884,-81.34923715,,80.795662,
27.45034326,-81.3492046,,80.594337,
27.45035842,-81.34917258,,80.360703,
27.4503743,-81.3491411,,80.174286,
27.45039089,-81.34911018,,79.987877,
27.45040818,-81.34907984,,79.80146,
27.45042639,-81.34905031,,79.615051,
27.4504451,-81.34902171,,79.430504,
27.45046466,-81.34899348,,79.244087,
27.4504849,-81.34896595,,79.057678,
27.45050579,-81.34893913,,78.871269,
27.45052754,-81.34891332,,78.69915,
27.45054992,-81.3488883,,78.574875,
27.4505729,-81.34886409,,78.43631,
27.45059647,-81.34884072,,78.249893,
27.45062061,-81.34881819,,78.077782,
27.45064547,-81.34879681,,77.939209,
27.45067083,-81.34877631,,77.7528,
27.45069667,-81.34875668,,77.580688,
27.45072269,-81.34873809,,77.457649,
27.4507494,-81.34872018,,77.333374,
27.4507766,-81.34870339,,77.195435,
27.45080414,-81.3486874,,77.02269,
27.45083202,-81.3486722,,76.912086,
27.45086021,-81.34865775,,76.849953,
27.45088872,-81.34864405,,76.815155,
27.45091762,-81.34863126,,76.890961,
27.45094683,-81.34861917,,77.0289,
27.45097634,-81.34860777,,77.201645,
27.45100614,-81.34859709,,77.366928,
27.45103623,-81.34858716,,77.663948,
27.45106669,-81.34857827,,77.898819,
27.45109709,-81.34857027,,78.096413,
27.45112803,-81.34856301,,78.344963,
27.4511592,-81.34855656,,78.567421,
27.45119057,-81.34855093,,78.717789,
27.45122218,-81.34854626,,78.953293,
27.45125395,-81.34854227,,79.139702,
27.45128587,-81.34853891,,79.352211,
27.45131794,-81.34853614,,79.636803,
27.45135015,-81.34853393,,79.836258,
27.45138255,-81.34853237,,80.097862,
27.45141508,-81.3485313,,80.408546,
27.45144776,-81.34853069,,80.719231,
27.45148024,-81.34853055,,81.03923,
27.45151318,-81.34853088,STOP,81.412056,
27.45154628,-81.34853183,,81.772446,
27.4515795,-81.34853327,,82.083138,
27.45161281,-81.34853522,,82.393822,
27.45164622,-81.3485377,,82.704506,
27.45167971,-81.34854073,,83.01519,
27.4517133,-81.34854445,,83.325874,
27.45174696,-81.34854867,,83.636566,
