#latitude,longitude,control
samplerate,0
41.9796553,-71.8270116,0
41.97966,-71.8270216,0
41.9796693,-71.8270416,0
41.9796833,-71.8270716,0
41.9796833,-71.8270716,0
41.9797019,-71.8271116,0
41.9797066,-71.8271216,0
41.9797153,-71.8271416,0
41.9797283,-71.8271716,0
41.9797283,-71.8271716,0
41.9797469,-71.827213,0
41.9797516,-71.8272233,0
41.9797603,-71.8272433,0
41.9797733,-71.8272733,0
41.9797733,-71.8272733,0
41.9797919,-71.8273147,0
41.9797966,-71.827325,0
41.9798053,-71.8273456,0
41.9798183,-71.8273766,0
41.9798183,-71.8273766,0
41.9798369,-71.827418,0
41.9798416,-71.8274283,0
41.9798503,-71.827449,0
41.9798633,-71.82748,0
41.9798633,-71.82748,0
41.9798819,-71.8275213,0
41.9798866,-71.8275316,0
41.9798953,-71.8275523,0
41.9799083,-71.8275833,0
41.9799083,-71.8275833,0
41.9799269,-71.8276247,0
41.9799316,-71.827635,0
41.9799403,-71.8276563,0
41.9799533,-71.8276883,0
41.9799533,-71.8276883,0
41.9799707,-71.8277297,0
41.979975,-71.82774,0
41.9799836,-71.8277613,0
41.9799966,-71.8277933,0
41.9799966,-71.8277933,0
41.980014,-71.8278359,0
41.9800183,-71.8278466,0
41.980027,-71.827868,0
41.98004,-71.8279,0
41.98004,-71.8279,0
41.9800573,-71.8279426,0
41.9800616,-71.8279533,0
41.9800703,-71.8279753,0
41.9800833,-71.8280083,0
41.9800833,-71.8280083,0
41.9800993,-71.8280509,0
41.9801033,-71.8280616,0
41.980112,-71.8280836,0
41.980125,-71.8281166,0
41.980125,-71.8281166,0
41.980141,-71.8281606,0
41.980145,-71.8281716,0
41.9801536,-71.8281936,0
41.9801666,-71.8282266,0
41.9801666,-71.8282266,0
41.9801826,-71.8282706,0
41.9801866,-71.8282816,0
41.9801946,-71.8283036,0
41.9802066,-71.8283366,0
41.9802066,-71.8283366,0
41.9802226,-71.8283806,0
41.9802266,-71.8283916,0
41.9802346,-71.8284143,0
41.9802466,-71.8284483,0
41.9802466,-71.8284483,0
41.9802626,-71.8284923,START(0 128 255):TURN 1-2
41.9802666,-71.8285033,0
41.9802746,-71.828526,0
41.9802866,-71.82856,0
41.9802866,-71.82856,0
41.9803013,-71.8286053,0
41.980305,-71.8286166,0
41.980313,-71.8286393,0
41.980325,-71.8286733,0
41.980325,-71.8286733,0
41.980341,-71.8287187,0
41.980345,-71.82873,0
41.9803523,-71.8287533,0
41.9803633,-71.8287883,0
41.9803633,-71.8287883,0
41.9803779,-71.8288349,0
41.9803816,-71.8288466,0
41.980389,-71.8288693,0
41.9804,-71.8289033,0
41.9804,-71.8289033,SPLIT:FRONT STRAIGHT
41.9804146,-71.8289499,0
41.9804183,-71.8289616,0
41.9804256,-71.828985,0
41.9804366,-71.82902,0
41.9804366,-71.82902,0
41.9804513,-71.8290666,0
41.980455,-71.8290783,0
41.9804616,-71.8291016,0
41.9804716,-71.8291366,0
41.9804716,-71.8291366,0
41.9804863,-71.8291846,0
41.98049,-71.8291966,0
41.9804973,-71.82922,0
41.9805083,-71.829255,0
41.9805083,-71.829255,0
41.9805217,-71.8293016,0
