#latitude,longitude,control
samplerate,1
43.9982427,11.371943,0
43.9983315398598,11.3720066408335,0
43.998420940128,11.3720704265469,0
43.9985103402616,11.3721342122604,0
43.9985997402604,11.3721979979739,0
43.9986891401246,11.3722617836874,0
43.9987785398541,11.3723255694008,0
43.9988685,11.3723895,0
43.9989519045058,11.372451683685,0
43.999035869444,11.3725140122556,0
43.9991198342633,11.3725763408262,0
43.9992037989639,11.3726386693969,0
43.9992877635455,11.3727009979675,0
43.9993717280084,11.3727633265381,0
43.9994556923525,11.3728256551087,0
43.9995396565777,11.3728879836794,0
43.9996236206841,11.37295031225,0
43.9997075846717,11.3730126408207,0
43.9997915485405,11.3730749693913,0
43.9998755122904,11.3731372979619,0
43.9999594759216,11.3731996265326,0
44.000044,11.3732621,0
44.0001268400776,11.3733180551025,0
44.0002102406041,11.3733741551018,0
44.0002936410133,11.373430255101,0
44.0003770413054,11.3734863551003,0
44.0004604414801,11.3735424550996,0
44.0005438415377,11.3735985550989,0
44.000627241478,11.3736546550982,0
44.0007106413011,11.3737107550975,0
44.0007940410069,11.3737668550968,0
44.0008774405956,11.3738229550961,0
44.0009608400669,11.3738790550953,0
44.0010448,11.3739353,0
44.0011283309251,11.3739822005486,0
44.0012124223098,11.3740292460025,0
44.0012965135754,11.3740762914565,0
44.0013806047218,11.3741233369104,0
44.001464695749,11.3741703823643,0
44.001548786657,11.3742174278183,0
44.0016328774459,11.3742644732723,0
44.0017169681155,11.3743115187262,0
44.0018010586659,11.3743585641801,0
44.0018851490972,11.3744056096341,0
44.0019698,11.3744528,START(0 128 255):Turn 1
44.0020574255157,11.3744980122303,0
44.002145611491,11.3745433693726,0
44.0022337973353,11.3745887265149,0
44.0023219830485,11.3746340836571,0
44.0024101686305,11.3746794407994,0
44.0024983540816,11.3747247979417,0
44.0025871,11.3747703,0
44.0026739061957,11.3748252217499,0
44.0027612728612,11.3748802884159,0
44.0028492,11.3749355,0
44.0029785,11.375043,0
44.003087,11.3751654,0
44.0031319,11.3752315,0
44.0031708,11.3753007,0
44.0032029,11.3753719,0
44.0032284,11.3754453,0
44.0032468,11.3755196,0
44.0032583,11.3755948,0
44.003263,11.3756687,0
44.0032609,11.375742,0
44.0032522,11.3758131,0
44.0032369,11.3758825,0
44.0032149,11.3759495,0
44.0031864,11.3760134,0
44.0031521,11.3760724,0
44.0031118,11.3761266,0
44.0030668,11.3761739,0
44.0030168,11.3762148,0
44.0029624,11.3762482,0
44.0029039,11.3762745,0
44.0028407,11.3762936,0
44.0027746,11.3763052,0
44.0026299,11.3763066,0
44.0025288394873,11.3762890550646,0
44.0024289,11.3762718,0
44.0023276231655,11.3762411717319,STOP(0 128 255)
44.0022269067566,11.376210688399,0
44.0021261901767,11.376180205066,0
44.0020254734259,11.3761497217331,0
44.001924756504,11.3761192384001,0
44.0018246,11.3760889,0
44.0017151,11.376078,0
44.0016224,11.3760835,0
44.0015433,11.3761012,0
44.0014716,11.3761291,0
44.0014155,11.3761606,0
44.0013638,11.3762006,0
44.0013047,11.3762589,0
44.0012461,11.3763353,0
44.0011800061584,11.3764649217291,START(0 128 255):Turn 3
44.0011144728259,11.3765946883941,0
44.0010495,11.3767246,0
44.0009636,11.3768856,0
44.000864,11.3770225,0
44.0008111,11.377078,0
44.0007547,11.3771268,0
44.0006977,11.3771668,0
44.0006378,11.3771994,0
44.0005766,11.3772231,0
44.0005132,11.3772387,0
44.0004471,11.3772456,0
44.0003796,11.3772443,0
44.0002374,11.3772163,0
44.0000909,11.3771564,0
43.9999453,11.377067,0
43.9998313395449,11.3769731550559,0
43.9997185,11.3768796,0
43.9996355646106,11.3767982800582,0
43.9995531896688,11.3767171050592,0
43.9994708146127,11.3766359300602,STOP(0 128 255)
43.999389,11.3765549,0
43.9993130696208,11.3764779256505,0
43.9992376997038,11.3764010962397,0
43.9991623296909,11.3763242668289,0
43.9990869595824,11.3762474374181,0
43.9990115893781,11.3761706080073,0
43.998936219078,11.3760937785965,0
43.9988608486822,11.3760169491857,0
43.9987854781907,11.375940119775,0
43.9987101076034,11.3758632903642,0
43.9986347369204,11.3757864609534,START(0 128 255):Turn 4-5
43.9985593661416,11.3757096315426,0
43.9984839952671,11.3756328021318,0
43.9984086242969,11.375555972721,0
43.9983332532309,11.3754791433102,0
43.9982578820692,11.3754023138994,0
43.9981825108117,11.3753254844887,0
43.9981077,11.3752488,0
43.9980296396113,11.3751818550787,0
43.9979521396629,11.3751150550796,0
43.9978746396133,11.3750482550804,0
43.9977977,11.3749816,0
43.9976959,11.3749189,0
43.9975983,11.3748754,0
43.9975144,11.3748526,0
43.997431,11.3748437,0
43.9973496,11.3748473,0
43.9972631,11.3748667,0
43.9971596063158,11.3749190217488,0
43.9970566729838,11.3749714884147,0
43.9969543,11.3750241,0
43.996811,11.375086,0
43.996669,11.3751162,0
43.9965287,11.3751127,0
43.9963876,11.3750737,0
43.9962452,11.3749992,0
43.996153739553,11.3749290050819,0
43.9960634,11.3748591,0
43.995985639586,11.3747821217505,0
43.995908439587,11.3747052884181,0
43.9958318,11.3746286,0
43.9957589649726,11.3745460967535,0
43.9956866903696,11.3744637384212,0
43.9956144156787,11.3743813800889,0
43.9955421408997,11.3742990217567,0
43.9954698660326,11.3742166634244,0
43.9953975910776,11.3741343050921,STOP(0 128 255)
43.9953253160345,11.3740519467598,0
43.9952530409034,11.3739695884275,0
43.9951807656842,11.3738872300952,0
43.995108490377,11.3738048717629,0
43.9950362149818,11.3737225134307,0
43.9949645,11.3736403,0
43.9948821397251,11.3735463750996,START(0 128 255):Turn 6-7
43.9948003398389,11.3734525951008,0
43.99471853984,11.373358815102,0
43.9946367397282,11.3732650351032,0
43.9945555,11.3731714,0
43.9944627395766,11.3730509551059,0
43.9943711,11.3729308,0
43.9942701,11.3727635,0
43.9941898,11.3725869,0
43.9941308,11.3723995,0
43.9940933,11.3721993,0
43.9940784,11.371987,0
43.9940773795099,11.3718578151211,0
43.9940769195099,11.3717287751227,0
43.9940764595099,11.3715997351244,0
43.9940759995099,11.371470695126,0
43.9940761,11.3713418,0
43.9940594,11.3711585,0
43.9940322,11.370992,0
43.993994,11.3708319,0
43.9939457,11.3706817,0
43.9938961,11.3705632,0
43.9938382,11.3704533,0
43.9937724,11.3703506,0
43.9936956,11.3702529,0
43.9935972,11.3701498,0
43.9934812,11.3700515,0
43.9933903147248,11.3699979301448,0
43.9932999897947,11.3699445051455,0
43.9932096647271,11.3698910801461,STOP(0 128 255)
43.9931199,11.3698378,0
43.9930217399246,11.3697991551473,0
43.9929241401666,11.3697606551478,0
43.9928265402481,11.3697221551483,START(0 128 255):Turn 8
43.9927289401691,11.3696836551488,0
43.9926313399296,11.3696451551493,0
43.9925343,11.3696068,0
43.9924317396185,11.3695546051504,0
43.9923303,11.3695027,0
43.9922385396033,11.3694402051519,0
43.9921479,11.369378,0
43.9920678395887,11.3693048551536,0
43.9919889,11.369232,0
43.9919199395768,11.3691478051556,0
43.9918521,11.3690639,0
43.9917371,11.3688748,0
43.9916467,11.3686672,0
43.9915958,11.3685017,0
43.9915614,11.3683292,0
43.9915445,11.3681505,0
43.991547,11.367904,0
43.9915609895437,11.3677764051731,0
43.9915761,11.3676491,0
43.9916027895476,11.3675163551764,0
43.9916306,11.3673839,0
43.991680689562,11.3672109051803,STOP(0 128 255)
43.9917319,11.3670382,0
43.9917923895704,11.3668734551846,0
43.991854,11.366709,0
43.9919187895733,11.3665680551885,START(0 128 255):Turn 9
43.9919847,11.3664274,0
43.9920977,11.3662381,0
43.9922232,11.3660784,0
43.9923624,11.3659491,0
43.9925142,11.3658531,0
43.9926769,11.3657907,0
43.9928483,11.365759,0
43.9929610896323,11.3657579051988,0
43.993075,11.3657571,0
43.9931738730213,11.3657719551986,0
43.9932733063534,11.3657869551984,0
43.9933733,11.3658021,0
43.9934730598567,11.3658280351979,0
43.9935733800251,11.3658541151976,0
43.9936737000237,11.3658801951972,0
43.9937740198529,11.3659062751969,STOP(0 128 255)
43.9938749,11.3659325,0
43.9939634760958,11.3659571551963,0
43.9940526125454,11.3659819551959,0
43.994141748861,11.3660067551956,0
43.9942308850427,11.3660315551953,0
43.9943200210906,11.366056355195,0
43.9944091570046,11.3660811551947,0
43.9944982927847,11.3661059551943,START(0 128 255):Turn 10-11
43.9945874284309,11.366130755194,0
43.9946765639432,11.3661555551937,0
43.9947656993217,11.3661803551934,0
43.9948548345662,11.3662051551931,0
43.9949439696769,11.3662299551928,0
43.9950331046537,11.3662547551925,0
43.9951228,11.3662797,0
43.995293,11.3663514,0
43.9954127,11.3664281,0
43.9954664,11.3664747,0
43.9955155,11.3665264,0
43.9955601,11.3665839,0
43.9955995,11.3666461,0
43.9956343,11.3667147,0
43.9956632,11.3667875,0
43.995687,11.366867,0
43.9957048,11.3669499,0
43.9957245,11.3671319,0
43.9957322394899,11.3672843885127,0
43.9957405394898,11.3674370218441,0
43.9957494,11.3675898,0
43.9957736,11.3677422,0
43.995807,11.367879,0
43.9958439,11.3679867,0
43.9958893,11.368086,0
43.9959423,11.3681769,0
43.9960059,11.3682628,0
43.9960925,11.3683549,0
43.9961915,11.3684393,0
43.9962984,11.3685115,0
43.9964232,11.3685764,0
43.9965200597986,11.3686095751625,0
43.9966174799573,11.368642895162,0
43.9967148999561,11.3686762151616,0
43.9968123197949,11.3687095351612,0
43.9969103,11.368743,STOP(0 128 255)
43.9970060731969,11.3687713551604,0
43.9971024067636,11.36879985516,0
43.9971987401739,11.3688283551597,0
43.9972950734278,11.3688568551593,0
43.9973914065253,11.368885355159,0
43.9974883,11.368914,0
43.9975823149928,11.3689476051582,0
43.9976768903685,11.3689813551577,0
43.9977714655934,11.3690151051573,0
43.9978660406675,11.3690488551569,START(0 128 255):Turn 12
43.997960615591,11.3690826051565,0
43.9980551903636,11.369116355156,0
43.9981497649856,11.3691501051556,0
43.9982449,11.369184,0
43.9983410896922,11.3692238301547,0
43.9984378397698,11.3692638051541,0
43.9985345896897,11.3693037801536,0
43.9986319,11.3693439,0
43.9987247395241,11.3693944551525,0
43.9988187,11.3694453,0
43.9989498,11.3695431,0
43.9990622,11.3696593,0
43.999111,11.3697243,0
43.9991544,11.369793,0
43.999192,11.369865,0
43.9992236,11.3699398,0
43.9992487,11.3700168,0
43.9992674,11.3700954,0
43.9992796,11.3701744,0
43.9992853,11.3702538,0
43.9992847,11.3703318,0
43.9992774,11.3704091,0
43.9992632,11.3704852,0
43.9992423,11.3705594,0
43.9992151,11.3706305,0
43.9991815,11.3706978,0
43.999143,11.3707585,0
43.9990989,11.3708135,0
43.9990511,11.3708603,0
43.9989985,11.3708999,0
43.9989411,11.3709311,0
43.9988825,11.3709537,0
43.9988356,11.3709653,0
43.9987873,11.3709702,0
43.9987218,11.3709685,0
