#latitude,longitude,control
samplerate,1
-23.7054861,-46.699498,0
-23.7055824781311,-46.6994665450429,0
-23.7056791582015,-46.6994356850433,START(0 128 255):Turn1-2
-23.7057758382003,-46.6994048250436,0
-23.7058725181274,-46.699373965044,0
-23.7059695,-46.6993437,0
-23.7060525,-46.6993036,0
-23.7061203,-46.6992588,0
-23.7061905,-46.699196,0
-23.7062511,-46.6991273,0
-23.7062913,-46.6990706,0
-23.7063219,-46.6990132,0
-23.7063408,-46.6989608,0
-23.706352,-46.6989077,0
-23.7063562,-46.6988537,0
-23.7063533,-46.6987997,0
-23.7063439,-46.6987474,0
-23.7063261,-46.698694,0
-23.7062868,-46.6986197,0
-23.7062365,-46.6985423,0
-23.7061706979968,-46.6984537550557,0
-23.7061055,-46.6983664,0
-23.7060427,-46.6982483,0
-23.7060191,-46.6981847,0
-23.706002,-46.6981211,0
-23.7059935,-46.6980674,0
-23.7059908,-46.6980144,0
-23.7059933,-46.697961,0
-23.706002,-46.6979046,0
-23.7060559,-46.6977305,0
-23.7060935313257,-46.6976177050664,0
-23.7061314646586,-46.6975055050678,0
-23.7061697,-46.6973939,STOP(0 128 255)
-23.7061979,-46.6972545,0
-23.7062139,-46.6971167,START(0 128 255):Turn3
-23.7062201,-46.6969714,0
-23.7062142,-46.6968287,0
-23.7061973,-46.6967057,0
-23.7061687,-46.6965872,0
-23.7061263,-46.6964691,0
-23.7060715,-46.6963548,0
-23.7060022,-46.6962421,0
-23.7059218,-46.6961353,0
-23.7058324,-46.6960355,0
-23.7057314,-46.6959423,0
-23.7056410647159,-46.6958799717552,0
-23.7055510313837,-46.6958182384227,0
-23.7054613,-46.6957571,0
-23.7053689730879,-46.6957138050907,0
-23.7052769481216,-46.6956711050912,0
-23.7051849230903,-46.6956284050917,0
-23.7050932,-46.6955863,0
-23.7049983781322,-46.6955550450927,0
-23.7049038582019,-46.6955243850931,0
-23.7048093382031,-46.6954937250935,0
-23.7047148181358,-46.6954630650939,0
-23.7046206,-46.695433,0
-23.7045297198385,-46.6954046408089,STOP(0 128 255)
-23.704439141614,-46.6953768765235,0
-23.7043485633267,-46.6953491122382,0
-23.7042579849764,-46.6953213479528,SPLIT:Exit3
-23.7041674065633,-46.6952935836674,0
-23.7040768280874,-46.6952658193821,0
-23.7039862495485,-46.6952380550967,0
-23.7038956709468,-46.6952102908114,0
-23.7038050922822,-46.695182526526,0
-23.7037145135548,-46.6951547622406,0
-23.7036239347644,-46.6951269979553,0
-23.7035333559113,-46.6950992336699,0
-23.7034427769952,-46.6950714693846,0
-23.7033525,-46.6950443,0
-23.7032618945693,-46.6950170009329,0
-23.7031715910599,-46.6949902967665,0
-23.703081287488,-46.6949635926002,0
-23.7029909838536,-46.6949368884339,0
-23.7029006801567,-46.6949101842676,0
-23.7028103763974,-46.6948834801012,0
-23.7027200725755,-46.6948567759349,0
-23.7026297686912,-46.6948300717686,0
-23.7025394647444,-46.6948033676023,0
-23.7024491607351,-46.6947766634359,0
-23.7023588566633,-46.6947499592696,0
-23.702268552529,-46.6947232551033,0
-23.7021782483322,-46.694696550937,0
-23.702087944073,-46.6946698467706,0
-23.7019976397512,-46.6946431426043,0
-23.701907335367,-46.694616438438,0
-23.7018170309203,-46.6945897342717,0
-23.7017267264111,-46.6945630301053,0
-23.7016364218395,-46.694536325939,0
-23.7015461172053,-46.6945096217727,0
-23.7014558125087,-46.6944829176063,0
-23.7013655077496,-46.69445621344,0
-23.701275202928,-46.6944295092737,SPLIT:Into4
-23.7011852,-46.6944034,0
-23.7010958256217,-46.6943754687441,0
-23.7010067531387,-46.6943481323808,0
-23.7009176805949,-46.6943207960175,0
-23.7008286079903,-46.6942934596542,0
-23.700739535325,-46.6942661232909,START(0 128 255):Turn4
-23.7006504625989,-46.6942387869276,0
-23.700561389812,-46.6942114505644,0
-23.7004723169642,-46.6941841142011,0
-23.7003832440557,-46.6941567778378,0
-23.7002941710864,-46.6941294414745,0
-23.7002054,-46.6941027,0
-23.7000857,-46.6940848,0
-23.6999874,-46.6940824,0
-23.6998953,-46.6940892,0
-23.6998095,-46.6941064,0
-23.6997406,-46.6941314,0
-23.6996773,-46.6941643,0
-23.6996189,-46.6942038,0
-23.699566,-46.6942501,0
-23.6995195,-46.6943025,0
-23.6994786,-46.6943629,0
-23.6994374,-46.6944457,0
-23.6994024,-46.6945429,0
-23.6993622,-46.6947059,STOP(0 128 255)
-23.6993334,-46.6948809,0
-23.6993279647344,-46.6949808051,0
-23.6993228314011,-46.6950813050987,0
-23.699318,-46.6951824,0
-23.6993283314017,-46.695290905096,START(0 128 255):Turn5
-23.6993389647349,-46.6954000050947,0
-23.6993499,-46.6955097,0
-23.6993806,-46.6956493,0
-23.6994222,-46.6957832,0
-23.699476,-46.6959137,0
-23.6995412,-46.6960394,0
-23.699595964754,-46.6961177717522,0
-23.69965103142,-46.6961967384179,0
-23.6997064,-46.6962763,0
-23.6997777731209,-46.6963490300826,0
-23.6998494481396,-46.6964223550816,0
-23.699921123119,-46.6964956800807,0
-23.6999931,-46.6965696,0
-23.7000688346432,-46.6966257232609,STOP(0 128 255)
-23.7001448711831,-46.696682441442,0
-23.7002209076786,-46.6967391596231,0
-23.7002969441299,-46.6967958778041,0
-23.7003729805369,-46.6968525959852,0
-23.7004490168995,-46.6969093141663,0
-23.7005250532179,-46.6969660323474,0
-23.700601089492,-46.6970227505285,0
-23.7006771257218,-46.6970794687096,0
-23.7007531619072,-46.6971361868907,0
-23.7008295,-46.6971935,0
-23.7009102732236,-46.6972534175711,0
-23.7009913483485,-46.6973139300703,0
-23.701072423423,-46.6973744425695,0
-23.7011534984472,-46.6974349550687,0
-23.701234573421,-46.697495467568,0
-23.7013156483444,-46.6975559800672,0
-23.7013967232175,-46.6976164925664,0
-23.7014781,-46.6976776,0
-23.7015568181348,-46.6977398650649,0
-23.7016358381817,-46.697802725064,0
-23.7017148581807,-46.6978655850633,START(0 128 255):Turn6
-23.7017938781318,-46.6979284450624,0
-23.7018732,-46.6979919,0
-23.7019609480637,-46.6980744050606,0
-23.7020493,-46.6981581,0
-23.7021110480468,-46.6982311050586,0
-23.7021734,-46.6983053,0
-23.7022734,-46.6984599,0
-23.7023334,-46.6985875,0
-23.7023724,-46.6987186,0
-23.7023834,-46.6987837,0
-23.7023891,-46.6988509,0
-23.7023893,-46.6989319,0
-23.7023826,-46.6990151,0
-23.7023685,-46.6990983,0
-23.7023472,-46.6991807,0
-23.7022827,-46.6993431,0
-23.7022154,-46.6994627,0
-23.7021105,-46.6995949,0
-23.7019862,-46.6997095,STOP(0 128 255)
-23.7018473,-46.6998009,0
