#latitude,longitude,control
samplerate,1
36.2815628,-115.0205076,0
36.2816499,-115.0205838,0
36.2816819,-115.0206521,0
36.281705,-115.0207344,0
36.2817369,-115.0208745,0
36.2818094,-115.0210471,0
36.2819168,-115.021159,0
36.2820073878157,-115.021212334615,START(0 128 255):TURN 1
36.2820989,-115.0212686,0
36.2822594,-115.0213506,0
36.282329,-115.0213834,0
36.2823993,-115.0214078,0
36.2824675,-115.0214228,0
36.2825354,-115.0214294,0
36.282601,-115.0214275,0
36.2826657,-115.0214176,0
36.282729,-115.0213999,0
36.2827905,-115.0213743,0
36.2828503,-115.02134,0
36.2829077,-115.0212983,0
36.2830168,-115.0211922,0
36.2830952,-115.0210868,0
36.2831457,-115.0209952,0
36.2831865377585,-115.020889084619,0
36.2832283,-115.0207859,STOP(0 128 255)
36.2832637378457,-115.020674788468,0
36.2832996379278,-115.020565142316,0
36.2833355379934,-115.020455496163,0
36.2833714380425,-115.020345850011,0
36.283407338075,-115.020236203858,0
36.2834432380911,-115.020126557706,0
36.2834791380906,-115.020016911553,SPLIT:EXIT OF 1
36.2835150380737,-115.019907265401,0
36.2835509380402,-115.019797619249,0
36.2835868379902,-115.019687973096,0
36.2836227379237,-115.019578326944,0
36.2836586378407,-115.019468680791,0
36.283695,-115.0193605,0
36.2837373253227,-115.01924764714,0
36.2837801128808,-115.019136259642,0
36.2838229004154,-115.019024872143,0
36.2838656879266,-115.018913484644,0
36.2839084754143,-115.018802097146,0
36.2839512628786,-115.018690709647,0
36.2839940503194,-115.018579322149,0
36.2840373,-115.0184694,0
36.2840782379229,-115.018364729096,0
36.2841196380871,-115.018261523542,0
36.2841610382293,-115.018158317987,0
36.2842024383496,-115.018055112433,0
36.2842438384479,-115.017951906879,0
36.2842852385242,-115.017848701325,0
36.2843266385786,-115.01774549577,0
36.284368038611,-115.017642290216,0
36.2844094386214,-115.017539084662,SPLIT:INTO 2
36.2844508386099,-115.017435879108,0
36.2844922385765,-115.017332673553,0
36.284533638521,-115.017229467999,0
36.2845750384436,-115.017126262445,0
36.2846164383443,-115.017023056891,START(0 128 255):TURN 2
36.284657838223,-115.016919851336,0
36.2846992380797,-115.016816645782,0
36.2847406379145,-115.016713440228,0
36.2847825,-115.0166117,0
36.2848263377393,-115.016473084676,0
36.2848711,-115.0163374,0
36.2849165,-115.0161252,0
36.2849302,-115.0159626,0
36.2849282,-115.0158843,0
36.2849205,-115.0158077,0
36.2849076,-115.0157357,0
36.2848892,-115.0156664,0
36.2848656,-115.0156012,0
36.2848367,-115.0155395,0
36.2848018,-115.0154816,0
36.284762,-115.0154282,0
36.2847173,-115.0153791,0
36.2846685,-115.0153358,0
36.2846153,-115.0152985,0
36.2845588,-115.0152682,0
36.2844991,-115.0152458,0
36.2844354,-115.0152305,0
36.2842709,-115.0152186,0
36.2841479878314,-115.015230934691,0
36.284026,-115.0152462,0
36.2839266045302,-115.015267468024,STOP(0 128 255)
36.2838276711982,-115.015290201357,0
36.2837292,-115.0153144,0
36.2836330715443,-115.015343568023,0
36.2835374052306,-115.015374201356,0
36.2834417387997,-115.015404834689,0
36.2833460722516,-115.015435468022,0
36.2832504055861,-115.015466101355,0
36.2831547388034,-115.015496734688,0
36.2830590719034,-115.015527368021,0
36.2829634048861,-115.015558001354,0
36.2828682,-115.0155901,0
36.2827699713924,-115.015611934686,0
36.2826722049107,-115.015635234686,0
36.2825744383065,-115.015658534686,0
36.2824766715798,-115.015681834686,START(0 128 255):TURN 3
36.2823789047307,-115.015705134685,0
36.2822816,-115.0157299,0
36.2821835378214,-115.015763234685,0
36.2820864,-115.0157995,0
36.2819503,-115.0158692,0
36.2818351,-115.0159545,0
36.281773,-115.0160145,0
36.2817167,-115.0160798,0
36.2816783,-115.016136,0
36.2816464,-115.0161948,0
36.2816199,-115.016257,0
36.281599,-115.0163219,0
36.2815839,-115.0163885,0
36.2815747,-115.0164565,0
36.281572,-115.0165255,0
36.2815752,-115.0165946,0
36.281584,-115.0166629,0
36.2815987,-115.0167297,0
36.2816202,-115.0167947,0
36.2816473,-115.016857,0
36.281681,-115.0169183,0
36.2817179,-115.0169742,0
36.2817836,-115.0170523,0
36.281833,-115.0170983,0
36.2819439,-115.017175,0
36.2820198,-115.017212,0
36.282101,-115.0172419,0
36.282272,-115.0172752,STOP(0 128 255)
36.2823810878347,-115.017276184665,0
36.2824911,-115.0172801,0
36.2825806713483,-115.017273717999,0
36.2826707048363,-115.017268801332,0
36.2827607382204,-115.017263884665,0
36.2828507715006,-115.017258967999,0
36.282940804677,-115.017254051332,0
36.2830313,-115.0172506,0
36.2831658,-115.0172641,0
36.2832772,-115.0172885,0
36.2833428,-115.0173114,START(0 128 255):TURN 4
36.2833999,-115.0173415,0
36.2834518,-115.0173796,0
36.2834982,-115.0174258,0
36.2835376,-115.0174805,0
36.2835708,-115.0175418,0
36.2835984,-115.0176098,0
36.2836192,-115.0176824,0
36.283633,-115.0177604,0
36.2836388,-115.017843,0
36.2836345,-115.017944,0
36.28362,-115.0180504,0
36.2835919,-115.0181786,0
36.2835535,-115.0183057,0
36.2835102,-115.0184172,0
36.2834581,-115.0185217,0
36.2833941,-115.0186215,0
36.283321,-115.0187124,0
36.2832378,-115.0187944,0
36.2831493,-115.0188632,0
36.2830677,-115.018911,0
36.2829836,-115.0189463,0
36.2828953,-115.0189705,0
36.2828026,-115.0189826,0
36.2826917,-115.0189816,STOP(0 128 255)
36.2825755,-115.0189655,0
36.2824853045263,-115.018934101311,0
36.2823955711942,-115.018904167978,0
36.2823063,-115.0188757,START(0 128 255):TURN 5
36.2822183979558,-115.018832574645,0
36.2821309580549,-115.018790914646,0
36.282043518056,-115.018749254647,0
36.2819560779592,-115.018707594647,0
36.2818691,-115.0186674,0
36.2817614378394,-115.018630634648,0
36.2816547,-115.0185968,0
36.2815644378199,-115.018579534649,0
36.2814751,-115.0185652,0
36.2813824378251,-115.018561684649,0
36.2812907,-115.0185611,0
36.2811736378603,-115.018573984649,0
36.2810575,-115.0185898,0
36.2809396878644,-115.018617284648,STOP(0 128 255)
36.2808228,-115.0186477,0
36.280730487941,-115.018679509647,0
36.2806386379962,-115.018712784647,0
36.2805467879433,-115.018746059647,0
36.2804554,-115.0187808,0
36.2803655045527,-115.018819501312,0
36.2802760712205,-115.018859667978,0
36.2801871,-115.0189013,START(0 128 255):TURN 6
36.2800654,-115.0189806,0
36.280002,-115.0190355,0
36.2799441,-115.0190951,0
36.2799037,-115.019145,0
36.2798694,-115.0191971,0
36.2798412,-115.0192512,0
36.2798186,-115.019308,0
36.2798027,-115.0193657,0
36.2797931,-115.0194253,0
36.2797905,-115.0194874,0
36.2797944,-115.01955,0
36.2798053,-115.0196138,0
36.2798222,-115.0196766,0
36.2798448,-115.0197392,0
36.2798726,-115.0197995,0
36.2799066,-115.0198585,0
36.2799454,-115.0199143,0
36.280038,-115.0200181,0
36.2801776,-115.0201273,STOP(0 128 255)
36.2803392,-115.0202098,0
36.2804278878337,-115.020236084628,0
36.2805175,-115.0202653,0
36.2806065378831,-115.02027886796,0
36.280696037882,-115.020293901293,0
36.280786,-115.0203104,0
36.2808824214109,-115.020330051293,0
36.2809793049234,-115.020351167959,0
36.2810761883156,-115.020372284626,0
36.2811730715876,-115.020393401292,0
36.2812699547393,-115.020414517959,0
36.2813673,-115.0204371,0
36.2814645878307,-115.020470884625,0
