GPS_Latitude,GPS_Longitude,Sections,GPS_Speed,Giants Despair HillClimb
STRAIGHT_TRACK
41.22336587,-75.86545522,,0.124274,
41.22336666,-75.86545619,,0.140585,
41.22336745,-75.86545716,,0.157052,
41.22336824,-75.86545813,,0.173363,
41.22336903,-75.86545911,,0.213752,
41.2233695,-75.86545968,,0.34424,
41.22336969,-75.86545991,,0.414455,
41.22336959,-75.86545979,,0.301986,
41.22336922,-75.86545935,,0.241092,
41.2233686,-75.86545862,,0.37158,
41.22336764,-75.86545748,,0.674188,
41.22336625,-75.86545578,,1.317307,
41.22336449,-75.86545355,,2.230723,
41.2233624,-75.86545079,,3.165265,
41.22336003,-75.86544751,,4.362026,
41.22335746,-75.8654437,,5.628381,
41.22335483,-75.8654395,,6.705838,
41.22335215,-75.86543477,,7.644109,
41.2233495,-75.86542964,,8.679313,
41.22334681,-75.86542401,,9.735644,
41.22334409,-75.86541794,,10.844792,
41.22334127,-75.86541125,,11.945862,
41.22333837,-75.86540404,,12.961803,
41.22333532,-75.8653961,,14.131225,
41.22333214,-75.86538747,,15.278896,
41.22332882,-75.86537818,,16.496162,
41.22332531,-75.8653681,,17.733934,
41.22332168,-75.86535743,,19.038815,
41.22331782,-75.86534595,,20.389053,
41.22331382,-75.86533387,,21.759178,
41.22330955,-75.86532079,,23.102583,
41.22330509,-75.86530703,,24.450336,
41.22330034,-75.86529237,,25.833509,
41.22329534,-75.86527705,,27.153923,
41.22328994,-75.86526079,,28.524668,
41.22328418,-75.86524389,,29.838245,
41.22327782,-75.86522599,,31.155552,
41.22327088,-75.86520754,,32.58968,
41.22326337,-75.86518855,,34.155533,
41.22325523,-75.86516894,,35.71207,
41.22324668,-75.86514916,,37.115746,
41.22323763,-75.86512892,,38.592125,
41.22322839,-75.86510866,,39.701271,
41.22321886,-75.86508798,,40.755737,
41.22320938,-75.86506726,,41.594589,
41.22319978,-75.86504606,,42.14761,
41.22319023,-75.86502472,,42.69566,
41.2231805,-75.86500277,,43.379791,
41.22317071,-75.86498058,,44.005512,
41.22316064,-75.86495784,,44.782845,
41.22315016,-75.86493435,,45.729813,
41.22313949,-75.86491059,,46.708473,
41.22312845,-75.86488613,,47.853043,
41.22311728,-75.86486145,,49.027431,
41.22310582,-75.86483612,,50.035915,
41.22309431,-75.86481062,,51.138851,
41.22308254,-75.86478447,,52.064697,
41.22307073,-75.86475827,,53.036522,
41.2230586,-75.86473154,,53.948071,
41.22304637,-75.8647048,,54.782574,
41.22303378,-75.86467754,,55.572956,
41.22302108,-75.86465026,,56.355885,
41.22300813,-75.86462262,,57.138809,
41.22299491,-75.86459443,,57.874516,
41.22298168,-75.8645662,,58.526958,
41.22296822,-75.8645374,,59.151432,
41.22295479,-75.86450854,,59.738628,
41.22294111,-75.86447907,,60.372429,
41.22292739,-75.86444947,,61.068985,
41.22291334,-75.86441914,,61.793507,
41.22289926,-75.86438867,,62.511189,
41.22288489,-75.86435748,,63.345066,
41.22287057,-75.8643262,,64.193245,
41.22285618,-75.86429457,,64.980515,
41.22284165,-75.86426232,,65.763443,
41.22282729,-75.86423013,,66.345047,
41.22281283,-75.86419747,,66.853325,
41.22279849,-75.86416498,,67.244789,
41.22278398,-75.86413202,,67.623833,
41.22276953,-75.86409917,,67.969315,
41.22275483,-75.86406577,,68.295532,
41.22274012,-75.86403232,,68.543457,
41.22272514,-75.86399812,,68.992088,
41.22271032,-75.86396403,,69.711014,
41.22269532,-75.8639292,,70.420624,
41.22268046,-75.86389425,,71.087357,
41.22266567,-75.86385906,,71.719292,
41.22265086,-75.86382342,,72.125671,
41.22263631,-75.86378809,,72.402176,
41.22262168,-75.86375246,,72.505325,
41.22260721,-75.86371719,,72.344383,
41.22259259,-75.86368155,,72.14679,
41.22257804,-75.86364612,,72.200851,
41.22256326,-75.86361015,,72.10392,
41.22254849,-75.86357412,,72.454369,
41.22253348,-75.86353735,,72.993103,
41.22251851,-75.86350054,,73.550468,
41.22250344,-75.86346334,,74.061234,
41.22248814,-75.86342543,,74.676392,
41.22247291,-75.86338756,,75.198341,
41.22245745,-75.86334901,,75.725266,
41.22244204,-75.86331054,,76.247215,
41.22242641,-75.86327145,,76.774139,
41.22241083,-75.86323249,,77.296097,
41.22239499,-75.86319292,,77.907524,
41.22237918,-75.8631535,,78.514603,
41.22236307,-75.86311349,,79.107391,
41.22234693,-75.86307365,SPLIT:ELBOW,79.74678,
41.22233048,-75.86303331,,80.293587,
41.22231405,-75.86299321,,80.756508,
41.22229747,-75.86295295,,81.213219,
41.22228059,-75.86291214,,81.736412,
41.22226375,-75.8628715,START:DEVIL'S ELBOW,82.193115,
41.2222466,-75.8628302,,82.664742,
41.22222951,-75.86278904,,83.173027,
41.22221219,-75.86274728,,83.634087,
41.22219501,-75.86270574,,84.09079,
41.22217768,-75.86266367,,84.479141,
41.22216058,-75.86262192,,84.68544,
41.2221434,-75.8625797,,84.817169,
41.22212648,-75.86253781,,84.981842,
41.22210962,-75.86249582,,85.103004,
41.22209263,-75.8624533,,85.250885,
41.2220758,-75.862411,,85.358383,
41.22205876,-75.86236809,,85.424248,
41.22204181,-75.86232534,,85.693306,
41.22202462,-75.86228185,,86.131989,
41.22200755,-75.86223855,,86.415337,
41.22199032,-75.86219465,,86.740318,
41.22197332,-75.86215104,,86.99942,
41.22195629,-75.86210696,,87.197021,
41.22193961,-75.86206331,,87.374115,
41.2219231,-75.86201936,,87.400833,
41.2219071,-75.86197595,,87.254189,
41.22189146,-75.86193264,,87.077713,
41.221876,-75.86188897,,86.945984,
41.22186099,-75.86184568,,86.815506,
41.22184611,-75.86180184,,86.713593,
41.22183163,-75.86175821,,86.648354,
41.22181727,-75.86171384,,86.582489,
41.22180328,-75.86166961,,86.517242,
41.22178946,-75.86162472,,86.451378,
41.22177613,-75.86158006,,86.339531,
41.22176309,-75.86153483,,86.258133,
41.22175065,-75.86148993,,86.032578,
41.22173885,-75.86144492,,85.771599,
41.22172759,-75.86139932,,85.568405,
41.2217171,-75.8613539,,85.311783,
41.22170723,-75.86130771,,85.194969,
41.2216982,-75.86126152,,85.268288,
41.22168987,-75.86121437,,85.411827,
41.22168247,-75.86116706,,85.682114,
41.22167584,-75.86111871,,86.209045,
41.22166996,-75.8610704,,86.6875,
41.22166466,-75.86102131,,87.184601,
41.22166,-75.86097249,,87.722702,
41.22165587,-75.86092313,,88.053276,
41.22165232,-75.86087426,,88.243416,
41.22164943,-75.86082551,,88.373901,
41.221647,-75.86077642,,88.378868,
41.22164504,-75.86072789,,88.313629,
41.22164345,-75.86067898,,88.247757,
41.22164223,-75.86063061,,88.025932,
41.22164131,-75.86058187,,87.81839,
41.22164072,-75.86053371,,87.681694,
41.22164041,-75.86048538,,87.298927,
41.22164037,-75.86043783,,86.900017,
41.22164058,-75.86039029,,86.350716,
41.22164102,-75.86034375,,85.601341,
41.22164166,-75.86029782,,84.701599,
41.22164247,-75.86025217,,83.793152,
41.22164338,-75.86020778,,82.728745,
41.22164435,-75.86016367,,81.633263,
41.22164532,-75.86012069,,80.534683,
41.22164626,-75.86007799,,79.380173,
41.22164713,-75.86003638,,78.271027,
41.22164792,-75.85999508,,77.075508,
41.22164856,-75.85995504,,75.835869,
41.22164909,-75.85991545,,74.539696,
41.22164952,-75.8598771,,73.139122,
41.22164987,-75.8598393,,71.690079,
41.22165015,-75.8598028,,70.200043,
41.22165037,-75.85976726,,68.526062,
41.2216505,-75.85973239,,66.505981,
41.22165046,-75.85969874,,64.741913,
41.22165019,-75.85966545,,62.963543,
41.22164962,-75.85963303,,61.239239,
41.22164867,-75.85960076,,59.750431,
41.2216473,-75.8595692,,58.38031,
41.22164542,-75.85953774,,57.036907,
41.22164291,-75.85950711,,55.912224,
41.22164115,-75.85948901,,55.123703,
41.22163957,-75.85947403,,54.53651,
41.22163785,-75.85945923,,53.982246,
41.22163591,-75.85944451,,53.491985,
41.22163347,-75.85942693,,52.478531,
41.22162267,-75.85936775,,50.399422,
41.22160969,-75.85931864,,48.358215,
41.22159898,-75.85928733,,47.203087,
41.22158943,-75.85926389,,46.503422,
41.22157886,-75.85924105,,45.959103,
41.22156761,-75.85921923,,45.617966,
41.22155559,-75.85919806,,45.661465,
41.22154327,-75.85917813,,45.340218,
41.22153061,-75.85915896,,45.059353,
41.22151791,-75.85914098,,44.632473,
41.22150501,-75.85912407,,43.970715,
41.22149169,-75.85910815,,43.160446,
41.22147806,-75.85909359,,42.594997,
41.22146359,-75.85908039,,41.987293,
41.22144853,-75.85906868,,41.636845,
41.2214326,-75.85905815,,41.698982,
41.22141615,-75.85904898,,41.853703,
41.22139896,-75.85904092,,42.037006,
41.22138141,-75.85903408,,42.297981,
41.22136326,-75.85902837,,42.515461,
41.22134497,-75.85902391,,42.760281,
41.22132648,-75.8590205,,43.073452,
41.2213077,-75.85901818,,43.402779,
41.22128905,-75.85901705,,43.669971,
41.22127026,-75.85901718,,43.870049,
41.22125173,-75.8590186,,43.996811,
41.22123326,-75.85902153,,44.051495,
41.22121519,-75.85902561,,44.018871,
41.22119721,-75.8590308,,43.978794,
41.22117966,-75.8590369,,43.87875,
41.22116216,-75.85904394,,43.765659,
41.22114502,-75.85905169,,43.830906,
41.22112782,-75.85906033,,43.89677,
41.22111076,-75.85906958,,44.055222,
41.22109359,-75.85907943,,44.350368,
41.22107607,-75.8590899,,44.755505,
41.22105848,-75.85910074,,45.335247,
41.22104046,-75.85911214,,45.949162,
41.22102234,-75.85912389,,46.584206,
41.22100376,-75.85913625,STOP,47.191277,
41.22098514,-75.85914887,,47.88784,
41.22096609,-75.85916194,,48.612354,
41.22094697,-75.85917512,,49.391552,
41.22092736,-75.85918856,,50.181942,
41.22090761,-75.85920188,,50.96487,
41.22088742,-75.85921498,,51.775757,
41.22086666,-75.85922794,,52.73764,
41.22084578,-75.85924045,SPLIT:ELBOW EXIT,53.537346,
41.22082443,-75.8592528,,54.195995,
41.22080309,-75.85926484,,54.756474,
41.22078143,-75.8592769,,55.098228,
41.22075991,-75.8592889,,55.359203,
41.22073819,-75.85930122,,55.622665,
41.22071667,-75.85931361,,55.773663,
41.22069491,-75.85932625,,55.879913,
41.22067327,-75.85933876,START:TURN 2,56.010403,
41.22065129,-75.85935118,,56.142136,
41.22062927,-75.85936298,,56.322952,
41.22060688,-75.85937388,,56.518684,
41.22058391,-75.85938392,,56.659115,
41.22056078,-75.85939283,,56.729328,
41.22053709,-75.85940078,,56.795197,
41.22051331,-75.85940763,,56.865406,
41.22048906,-75.85941353,,56.988441,
41.22046491,-75.85941826,,57.030071,
41.22044047,-75.85942197,,56.971977,
41.22041628,-75.85942448,,56.939354,
41.22039192,-75.85942582,,56.939972,
41.22036788,-75.85942592,,56.928791,
41.22034399,-75.85942477,,56.769718,
41.22032007,-75.85942231,,56.53981,
41.22029667,-75.85941859,,56.314251,
41.22027335,-75.85941376,,56.038361,
41.22025062,-75.8594079,,55.669891,
41.22022809,-75.85940082,,55.2747,
41.22020619,-75.85939249,,54.834145,
41.22018451,-75.85938247,,54.425903,
41.22016353,-75.85937037,,54.034439,
41.22014276,-75.85935598,,53.818203,
41.2201226,-75.85933962,,53.749855,
41.22010267,-75.85932108,,53.894634,
41.22008338,-75.85930087,,54.273048,
41.22006461,-75.85927905,,55.003159,
41.22004636,-75.85925562,,55.478508,
41.22002907,-75.85923136,,56.000458,
41.22001239,-75.85920617,,56.48513,
41.21999665,-75.85918064,,56.828129,
41.21998151,-75.85915438,,57.147514,
41.21996719,-75.85912791,,57.44577,
41.21995336,-75.85910074,,57.678162,
41.21994021,-75.85907322,,58.014942,
41.21992731,-75.85904488,,58.368504,
41.21991484,-75.85901623,,58.784206,
41.21990263,-75.85898699,,59.24091,
41.21989054,-75.85895685,,59.753544,
41.2198788,-75.8589264,,60.275494,
41.2198672,-75.85889499,,60.802414,
41.2198559,-75.85886334,,61.385883,
41.21984466,-75.85883092,,61.978676,
41.21983363,-75.85879838,,62.572079,
41.21982257,-75.85876513,,63.230732,
41.21981162,-75.85873182,,63.883171,
41.21980054,-75.85869784,,64.558601,
41.21978948,-75.85866381,,65.256409,
41.21977825,-75.85862917,,65.891449,
41.21976707,-75.85859458,,66.45192,
41.21975587,-75.85855973,,66.973877,
41.21974456,-75.85852432,,67.500801,
41.21973342,-75.85848901,,67.986084,
41.2197223,-75.85845307,,68.447144,
41.21971143,-75.8584172,,68.903854,
41.21970059,-75.85838073,,69.364914,
41.21968999,-75.85834432,,69.771286,
41.21967941,-75.85830727,,70.166473,
41.21966903,-75.85827025,,70.615112,
41.21965866,-75.85823251,STOP,71.137062,
41.21964849,-75.85819482,,71.593147,
41.21963839,-75.85815685,,71.989586,
41.21962825,-75.85811823,,72.433243,
41.21961825,-75.85807971,,72.771271,
41.21960817,-75.85804053,,73.166458,
41.21959817,-75.85800141,,73.539291,
41.21958805,-75.85796157,,73.868614,
41.219578,-75.85792182,,74.220306,
41.2195679,-75.85788148,,74.732315,
41.21955799,-75.85784143,START:TURN 3,75.158577,
41.21954816,-75.85780104,,75.392212,
41.21953868,-75.85776119,,75.379166,
41.21952949,-75.85772134,,75.181572,
41.21952078,-75.85768235,,74.663963,
41.21951243,-75.85764386,,73.913353,
41.21950435,-75.85760551,,72.858879,
41.21949662,-75.85756799,,71.749741,
41.21948905,-75.85753055,,70.749329,
41.21948172,-75.85749386,,69.647011,
41.21947439,-75.85745718,,68.729256,
41.21946714,-75.85742114,,67.888535,
41.21945976,-75.85738506,,67.075783,
41.21945234,-75.85734969,,66.176659,
41.21944473,-75.85731444,,65.320404,
41.21943703,-75.8572801,,64.451111,
41.2194291,-75.85724631,,63.528992,
41.21942111,-75.85721376,,62.559654,
41.219413,-75.85718214,,61.515751,
41.21940465,-75.85715115,,60.496704,
41.2193962,-75.85712136,,59.480137,
41.2193874,-75.85709214,,58.509556,
41.21937824,-75.85706405,,57.596142,
41.21936837,-75.85703651,,56.722492,
41.21935789,-75.85701,,55.925896,
41.21934649,-75.85698406,,55.412022,
41.21933432,-75.8569593,,54.955311,
41.21932111,-75.85693537,,54.36998,
41.21930708,-75.85691278,,53.913277,
41.21929196,-75.8568916,,53.456566,
41.21927586,-75.85687141,,53.015392,
