#latitude,longitude,control
samplerate,1
39.7931512,-86.2389124,0
39.793241348991,-86.2389126190831,0
39.7933320048323,-86.2389139368608,0
39.7934226605541,-86.2389152546386,0
39.7935133161564,-86.2389165724164,0
39.7936039716393,-86.2389178901941,0
39.7936946270027,-86.2389192079719,0
39.7937852822466,-86.2389205257496,0
39.793875937371,-86.2389218435274,0
39.7939665923759,-86.2389231613052,0
39.7940572472613,-86.2389244790829,0
39.7941479020273,-86.2389257968607,0
39.7942385566738,-86.2389271146384,0
39.7943292112008,-86.2389284324162,0
39.7944198656083,-86.238929750194,0
39.7945105198964,-86.2389310679717,0
39.7946011740649,-86.2389323857495,0
39.794691828114,-86.2389337035272,0
39.7947824820436,-86.238935021305,0
39.7948731358537,-86.2389363390828,0
39.7949637895443,-86.2389376568605,0
39.7950544431155,-86.2389389746383,0
39.7951450965672,-86.238940292416,0
39.7952357498993,-86.2389416101938,0
39.795326403112,-86.2389429279716,0
39.7954170562053,-86.2389442457493,0
39.795507709179,-86.2389455635271,0
39.7955983620333,-86.2389468813049,0
39.795689014768,-86.2389481990826,0
39.7957796673833,-86.2389495168604,0
39.7958703198791,-86.2389508346381,0
39.7959609722555,-86.2389521524159,0
39.7960516245123,-86.2389534701937,0
39.7961422766496,-86.2389547879714,0
39.7962329286675,-86.2389561057492,0
39.7963235805659,-86.2389574235269,0
39.7964142323448,-86.2389587413047,0
39.7965048840043,-86.2389600590825,0
39.7965955355442,-86.2389613768602,0
39.7966861869646,-86.238962694638,0
39.7967768382656,-86.2389640124157,0
39.7968674894471,-86.2389653301935,0
39.7969581405091,-86.2389666479713,0
39.7970487914516,-86.238967965749,0
39.7971394422747,-86.2389692835268,0
39.7972306,-86.2389717,0
39.797323475178,-86.2389729263045,0
39.797416857251,-86.2389752513045,0
39.7975102391972,-86.2389775763045,SPLIT:Into 1
39.7976036210165,-86.2389799013044,0
39.7976970027091,-86.2389822263044,0
39.7977903842749,-86.2389845513044,0
39.7978837657139,-86.2389868763044,0
39.7979771470261,-86.2389892013043,0
39.7980705282115,-86.2389915263043,0
39.7981639092701,-86.2389938513043,START(0 128 255):Turn 1
39.798257290202,-86.2389961763042,0
39.798350671007,-86.2389985013042,0
39.7984440516852,-86.2390008263042,0
39.7985374322367,-86.2390031513041,0
39.7986308126613,-86.2390054763041,0
39.7987247,-86.2390089,0
39.7988573,-86.2389926,0
39.7989173,-86.2389724,0
39.7989579,-86.2389521,0
39.7989979,-86.2389267,0
39.7990338,-86.2388968,0
39.7990661,-86.2388625,0
39.7990954,-86.238823,0
39.7991204,-86.2387797,0
39.7991417,-86.2387308,0
39.7991584,-86.2386789,0
39.7991705,-86.2386265,0
39.7991793,-86.2385642,STOP(0 128 255)
39.7991871,-86.2383743,START(0 128 255):Turn 2
39.7991975,-86.2381768,0
39.7992133,-86.2380905,0
39.799235,-86.2380152,0
39.7992622,-86.2379425,0
39.7992963,-86.2378746,0
39.799337,-86.2378148,0
39.7993844,-86.2377613,0
39.7994378,-86.2377151,0
39.7994966,-86.2376764,0
39.799557,-86.2376459,0
39.7996272,-86.2376244,0
39.7997265930915,-86.2376213013217,0
39.7998264930903,-86.2376193013218,0
39.7999269,-86.2376184,STOP(0 128 255)
39.8000876,-86.2376095,0
39.8002516,-86.2375716,0
39.8004156,-86.2375024,0
39.8005764,-86.2374019,0
