#latitude,longitude,control
samplerate,1
40.6895328,-82.6357001,0
40.689537295897,-82.6358200329234,0
40.6895423101834,-82.6359410186362,0
40.6895473244694,-82.6360620043489,0
40.6895523387551,-82.6361829900617,0
40.6895573530403,-82.6363039757744,0
40.6895623673252,-82.6364249614872,0
40.6895679,-82.636547,0
40.6895729482782,-82.6366771805315,0
40.6895785149462,-82.6368084138632,0
40.6895840816137,-82.6369396471949,0
40.6895896482808,-82.6370708805265,0
40.6895952149474,-82.6372021138582,0
40.6896007816135,-82.6373333471899,0
40.6896063482792,-82.6374645805215,0
40.6896119149444,-82.6375958138532,0
40.689618,-82.6377281,START(0 128 255):Turn 1
40.6896119816094,-82.6378492971833,0
40.689607,-82.6379726,SPLIT:Into 1
40.6895841,-82.638172,0
40.6895618,-82.638292,0
40.6895303,-82.6384031,0
40.6894781,-82.6385352,0
40.6894141,-82.6386651,0
40.6893434,-82.6387865,0
40.6892662,-82.6388976,0
40.6891971,-82.6389797,0
40.6891205,-82.6390535,0
40.6890187,-82.6391327,0
40.6889072,-82.6392024,0
40.688794,-82.6392576,0
40.6886767,-82.6392976,0
40.6885689,-82.6393169,0
40.6884407,-82.6393217,STOP(0 128 255)
40.6883500021744,-82.6393115971647,0
40.6882598226027,-82.6393025471648,0
40.6881696429089,-82.6392934971649,0
40.6880794630931,-82.639284447165,0
40.6879892831553,-82.6392753971651,0
40.6878991030954,-82.6392663471652,0
40.6878089229135,-82.6392572971653,0
40.6877187426096,-82.6392482471655,0
40.6876285621836,-82.6392391971656,0
40.6875389,-82.6392312,0
40.6874462523854,-82.6392228609589,0
40.6873541230078,-82.6392155747521,0
40.6872619935029,-82.6392082885453,0
40.6871698638705,-82.6392010023385,0
40.6870777341109,-82.6391937161317,0
40.6869856042238,-82.6391864299249,0
40.6868934742094,-82.6391791437181,0
40.6868013440677,-82.6391718575113,0
40.6867092137985,-82.6391645713045,0
40.6866170834021,-82.6391572850977,0
40.6865249528782,-82.6391499988909,0
40.686432822227,-82.639142712684,0
40.6863406914484,-82.6391354264772,0
40.6862485605424,-82.6391281402704,0
40.6861564295091,-82.6391208540636,0
40.6860642983484,-82.6391135678568,0
40.6859721670604,-82.63910628165,0
40.685880035645,-82.6390989954432,0
40.6857879041022,-82.6390917092364,0
40.6856957724321,-82.6390844230296,0
40.6856036406346,-82.6390771368228,0
40.6855115087098,-82.639069850616,0
40.6854193766576,-82.6390625644092,0
40.685327244478,-82.6390552782024,0
40.685235112171,-82.6390479919956,0
40.6851429797367,-82.6390407057888,0
40.6850508471751,-82.639033419582,0
40.684958714486,-82.6390261333752,0
40.6848671,-82.6390199,START(0 128 255):Turn 2
40.6847585485128,-82.6390177138351,0
40.6846505151808,-82.6390165805017,0
40.684543,-82.6390165,0
40.6844492317402,-82.6390257971683,0
40.6843565,-82.6390372,0
40.6842296,-82.639073,0
40.6841734,-82.6390996,0
40.684123,-82.6391308,0
40.6840878,-82.6391594,0
40.6840574,-82.6391908,0
40.68403,-82.6392256,0
40.6840062,-82.6392632,0
40.6839863,-82.6393034,0
40.6839701,-82.6393457,0
40.6839573,-82.6393911,0
40.6839484,-82.639438,0
40.6839431,-82.6394868,0
40.6839421,-82.6395383,0
40.6839475,-82.6396084,0
40.6839589,-82.6396786,0
40.6839724,-82.6397314,0
40.683991,-82.639783,0
40.6840212,-82.6398487,0
40.6840588,-82.6399134,0
40.6841029,-82.6399726,0
40.6841531,-82.6400268,0
40.6842092,-82.6400752,0
40.6842702,-82.6401174,0
40.6843349,-82.6401526,0
40.6844054,-82.6401815,STOP(0 128 255)
40.6844993817413,-82.6402023471533,0
40.6845944,-82.6402253,0
40.684684294042,-82.640227222153,0
40.6847747062882,-82.640230197153,0
40.6848651184119,-82.6402331721529,0
40.6849555304128,-82.6402361471529,0
40.6850459422911,-82.6402391221528,0
40.6851363540468,-82.6402420971528,0
