#latitude,longitude,control
samplerate,1
47.3210024,-122.1486514,0
47.3210168471307,-122.148781443809,0
47.3210318971326,-122.148913043807,0
47.3210469471303,-122.149044643806,0
47.3210626,-122.1491778,0
47.3210828721357,-122.149306718802,0
47.3211037471396,-122.149437193801,0
47.3211246221352,-122.149567668799,0
47.3211461,-122.1496997,0
47.3211722221425,-122.149826843796,0
47.321198947149,-122.149955543794,0
47.3212256721418,-122.150084243792,0
47.321253,-122.1502145,0
47.3212848221507,-122.150339093789,0
47.3213172471602,-122.150465243788,SPLIT:Turn 1
47.3213496721499,-122.150591393786,0
47.3213827,-122.1507191,0
47.3214205972313,-122.150845843783,0
47.321459097315,-122.150974143781,0
47.3214975973706,-122.151102443779,0
47.3215360973982,-122.151230743778,0
47.3215745973977,-122.151359043776,0
47.3216130973691,-122.151487343775,0
47.3216515973126,-122.151615643773,0
47.3216900972279,-122.151743943771,0
47.3217292,-122.1518738,0
47.3217648861033,-122.151996310435,START(0 128 255):Turn 2
47.3218011750665,-122.1521203771,0
47.3218374640048,-122.152244443765,0
47.3218737529181,-122.15236851043,0
47.3219100418066,-122.152492577095,0
47.3219463306701,-122.15261664376,0
47.3219826195086,-122.152740710425,0
47.3220189083223,-122.15286477709,0
47.3220558,-122.1529904,0
47.3220994,-122.1531895,0
47.322125,-122.1533607,0
47.322137,-122.1535194,0
47.3221367,-122.1536704,0
47.3221263,-122.153795,0
47.3221053,-122.1539171,0
47.3220685,-122.1540572,0
47.3220205,-122.1541916,0
47.3219716,-122.1542948,0
47.3219148,-122.1543881,0
47.3218525,-122.1544693,0
47.3217826,-122.1545404,0
47.3217084,-122.1545974,0
47.3216283,-122.1546422,0
47.3215456,-122.1546722,0
47.3214598,-122.1546885,0
47.3213724,-122.1546902,0
47.3212854,-122.1546773,0
47.3211981,-122.1546472,0
47.3211145,-122.1546032,0
47.3210325,-122.1545444,0
47.3209567,-122.1544741,0
47.3208858,-122.1543912,0
47.3208216,-122.1542965,0
47.3207545,-122.1541705,0
47.3206952,-122.15403,0
47.3206407,-122.1538696,0
47.3205895,-122.153669,0
47.3205661244518,-122.153529498294,0
47.320543351764,-122.153391552841,0
