#header
samplerate,1
39.2399853,-77.9809422,0
39.2398943005457,-77.9809857954012,0
39.2398038008971,-77.9810303842895,0
39.2397133011318,-77.9810749731779,0
39.2396228012497,-77.9811195620662,0
39.2395323012508,-77.9811641509545,0
39.2394418011353,-77.9812087398428,0
39.2393513009029,-77.9812533287311,0
39.2392608005538,-77.9812979176195,0
39.2391708,-77.9813435,0
39.2390111,-77.9814359,0
39.2389185,-77.981505,START(0 128 255):TURN 15
39.2388359,-77.9815812,0
39.238767,-77.9816637,0
39.2387291,-77.9817233,0
39.2386975,-77.9817846,0
39.2386719,-77.9818474,0
39.2386543,-77.9819115,0
39.2386456,-77.9819768,0
39.2386454,-77.9820434,0
39.2386529,-77.9821099,0
39.2386676,-77.9821759,0
39.2386905,-77.982239,0
39.2387052,-77.9822687,0
39.2387219,-77.9822967,0
39.238741,-77.9823226,0
39.2387619,-77.9823462,0
39.2387843,-77.9823672,0
39.2388081,-77.9823855,0
39.2388585,-77.982414,0
39.2389119,-77.9824323,0
39.2389678,-77.9824393,0
39.2390244,-77.982435,0
39.2390817,-77.9824204,0
39.2391726403263,-77.9823782664946,0
39.2392640804443,-77.9823371264951,0
39.2393555204432,-77.9822959864956,0
39.2394469603228,-77.9822548464962,STOP(0 128 255)
39.2395389,-77.9822147,0
39.2396302783412,-77.9821696287195,0
39.2397221564788,-77.9821255509422,0
39.2398140344961,-77.982081473165,SPLIT:INTO 15
39.2399059123931,-77.9820373953878,0
39.2399977901696,-77.9819933176106,0
39.2400896678259,-77.9819492398334,0
39.2401815453619,-77.9819051620562,0
39.2402734227775,-77.981861084279,0
39.2403658,-77.981818,0
39.240453862963,-77.9817704690023,0
39.2405424257414,-77.9817239315029,0
39.2406309884079,-77.9816773940035,0
39.2407195509627,-77.9816308565041,0
39.2408081134057,-77.9815843190047,0
39.2408966757368,-77.9815377815053,0
39.2409852379562,-77.9814912440059,0
39.2410743,-77.9814457,0
39.2411809002259,-77.9813806065073,0
39.2412880002245,-77.9813165065081,0
39.2413956,-77.9812534,0
39.2415003002161,-77.9811795065098,0
39.2416055002147,-77.9811066065108,0
39.2417112,-77.9810347,0
39.2418059752485,-77.9809586815127,0
39.241901250312,-77.9808836565136,0
39.2419965252461,-77.9808086315146,SPLIT:EXIT OF BIG BEND
39.2420923,-77.9807346,0
39.2421701378559,-77.9806657565164,0
39.2422484755737,-77.9805979065173,START(0 128 255):T14-BIG BEND
39.2423268132039,-77.9805300565181,0
39.2424051507466,-77.980462206519,0
39.2424834882019,-77.9803943565199,0
39.2425618255697,-77.9803265065207,0
39.24264016285,-77.9802586565216,0
39.242719,-77.9801918,0
39.2428062500965,-77.9801028565236,0
39.2428945,-77.9800159,0
39.242997,-77.9798895,0
39.2430884,-77.9797526,0
39.2431299,-77.9796807,0
39.243167,-77.9796063,0
39.2431999,-77.9795301,0
39.2432284,-77.9794519,0
39.2432525,-77.9793717,0
39.243272,-77.9792891,0
39.2432866,-77.9792045,0
39.2432961,-77.9791186,0
39.2433009,-77.9790324,0
39.2433014,-77.9789464,0
39.2432972,-77.9788608,0
