#latitude,longitude,control
samplerate,1
33.2738535,-111.9633827,0
33.2737668192008,-111.963320202144,0
33.2736805622294,-111.963259130717,0
33.2735943051729,-111.963198059289,0
33.2735080480311,-111.963136987861,0
33.2734217908042,-111.963075916433,0
33.273335533492,-111.963014845006,0
33.2732497,-111.9629552,0
33.2731733336677,-111.962892195007,0
33.2730973911748,-111.962830616436,0
33.2730214486159,-111.962769037866,SPLIT:Into2
33.2729455059909,-111.962707459295,0
33.2728695632999,-111.962645880725,0
33.2727936205428,-111.962584302154,0
33.2727176777196,-111.962522723583,START(0 128 255):Turn 2-3
33.2726417348304,-111.962461145013,0
33.2725657918751,-111.962399566442,0
33.2724898488538,-111.962337987871,0
33.2724139057665,-111.962276409301,0
33.2723379626131,-111.96221483073,0
33.2722620193936,-111.962153252159,0
33.2721865,-111.9620931,0
33.2721027761489,-111.962035073589,0
33.2720199,-111.9619799,0
33.2719664,-111.9619545,0
33.2719144,-111.9619373,0
33.2718612,-111.9619271,0
33.2718074,-111.9619238,0
33.2717552,-111.961927,0
33.2716994,-111.9619373,0
33.2716028,-111.9619714,0
33.2715056,-111.9620039,0
33.2714477,-111.962011,0
33.2713934,-111.9620092,0
33.2713376,-111.9619992,0
33.2712834,-111.9619808,0
33.2712328,-111.961955,0
33.271181,-111.9619158,0
33.2711063095184,-111.961823106925,0
33.2710320428527,-111.96173184026,STOP(0 128 255)
33.2709582,-111.961642,0
33.2708659261733,-111.961535773596,0
33.2707745,-111.9614324,0
33.2706835095545,-111.961342873598,0
33.270592942889,-111.961254773599,0
33.2705028,-111.9611681,0
33.2704231946714,-111.961098909965,0
33.2703440131414,-111.961031146329,0
33.2702648315396,-111.960963382694,0
33.2701856498661,-111.960895619058,SPLIT:Into4
33.2701064681207,-111.960827855423,0
33.2700272863035,-111.960760091787,0
33.2699481044145,-111.960692328152,0
33.2698689224538,-111.960624564516,0
33.2697897404212,-111.960556800881,0
33.2697105583168,-111.960489037245,START(0 128 255):Turn 4
33.2696318,-111.9604227,0
33.2695384762407,-111.960349706944,0
33.2694455762419,-111.960278140278,0
33.2693531,-111.960208,0
33.269249876206,-111.960145323614,0
33.2691475,-111.9600855,0
33.2689803,-111.9600144,0
33.2689232,-111.9600003,0
33.2688701,-111.9599942,0
33.2688266,-111.9599956,0
33.2687848,-111.9600028,0
33.2687427,-111.9600159,0
33.2687022,-111.9600345,0
33.268663,-111.9600592,0
33.2686267,-111.9600888,0
33.2685939,-111.9601228,0
33.2685647,-111.960162,0
33.268535,-111.9602166,0
33.2685114,-111.9602724,0
33.2684915,-111.9603453,0
33.268484,-111.960395,0
33.2684819,-111.9604429,0
33.2684839,-111.9604948,0
33.2684917,-111.9605433,0
33.2685046,-111.9605905,0
33.2685222,-111.960635,0
33.2685454,-111.9606786,0
33.2685796,-111.9607285,0
33.2686226,-111.9607782,0
33.2686963761841,-111.960838323605,0
33.268771,-111.9609013,0
33.2688656513057,-111.960963648603,0
33.2689607263562,-111.961027423602,STOP(0 128 255)
33.2690558013033,-111.961091198601,0
33.2691513,-111.9611564,SPLIT:Exit4
33.2692303564713,-111.9612098936,0
33.2693098367235,-111.961264813599,0
33.2693893169033,-111.961319733599,0
33.2694687970108,-111.961374653598,0
33.269548277046,-111.961429573597,0
33.2696277570088,-111.961484493596,0
33.2697072368993,-111.961539413596,0
33.2697867167174,-111.961594333595,0
33.2698661964632,-111.961649253594,0
33.2699461,-111.9617056,0
33.2700310012606,-111.961781048593,START(0 128 255):Turn 5-6
33.2701163263012,-111.961857923592,0
33.2702016512585,-111.961934798591,0
33.2702874,-111.9620131,0
33.2703775761782,-111.962120523588,0
33.2704686,-111.9622308,0
33.2705443,-111.9623439,0
33.2706128,-111.9624684,0
33.2706602761538,-111.962593006916,0
33.2707081761532,-111.962719040247,0
33.2707565,-111.9628465,0
33.2707997261367,-111.962982923577,0
33.2708438,-111.9631222,0
33.2709153,-111.9632746,0
33.2709886,-111.9633824,0
33.2710761,-111.9634733,0
33.2711771,-111.9635461,0
33.2712903,-111.9635982,0
33.2713865512789,-111.963623798569,0
33.2714832263311,-111.963650823569,0
33.2715799012764,-111.963677848569,0
33.271677,-111.9637063,0
33.271775376281,-111.963754373568,STOP(0 128 255)
33.2718741763357,-111.963803873567,0
33.2719729762785,-111.963853373566,0
33.2720722,-111.9639043,0
33.2721586096577,-111.963962556898,0
33.2722454431194,-111.964022240231,0
33.2723322764948,-111.964081923563,0
33.2724191097839,-111.964141606896,0
33.2725059429866,-111.964201290229,START(0 128 255):Turn 8-9-10
33.2725932,-111.9642624,0
33.2726706362408,-111.96432995356,0
33.2727484963092,-111.964398933559,0
33.2728263563083,-111.964467913558,0
33.2729042162378,-111.964536893558,0
33.2729825,-111.9646073,0
33.2730654,-111.9647017,0
33.2731321,-111.9647975,0
33.2731935761172,-111.964927373553,0
33.2732559,-111.9650601,0
33.2733241,-111.9651846,0
33.2734117,-111.9652951,0
33.2734721,-111.9653545,0
33.2735367,-111.965408,0
33.2735926,-111.9654457,0
33.2736502,-111.9654757,0
33.2737095,-111.9654974,0
33.2737709,-111.9655113,0
33.2738342,-111.9655169,0
33.2739001,-111.965515,0
33.2740649,-111.965485,STOP(0 128 255)
33.2741562535849,-111.96545498893,0
33.2742480309892,-111.965426404315,0
33.274339808297,-111.9653978197,0
33.2744315855084,-111.965369235085,0
33.2745233626232,-111.96534065047,0
33.2746151396416,-111.965312065855,0
33.2747069165635,-111.96528348124,0
33.2747986933889,-111.965254896625,0
33.2748904701179,-111.96522631201,START(0 128 255):Turn 1
33.2749822467504,-111.965197727395,0
33.2750740232864,-111.96516914278,0
33.2751657997259,-111.965140558165,0
33.275258,-111.9651134,0
33.2753348,-111.9650788,0
33.2753882,-111.9650468,0
33.2754276,-111.9650173,0
33.2754597,-111.9649857,0
33.2754816,-111.9649559,0
33.2754982,-111.9649242,0
33.27551,-111.9648901,0
33.2755169,-111.9648545,0
33.275519,-111.9648178,0
33.2755158,-111.9647796,0
33.2755052,-111.9647319,0
33.2754877,-111.964682,0
33.2754593,-111.9646224,0
33.2754228,-111.9645612,0
33.2753087,-111.964415,0
33.2752197261144,-111.96432972356,0
33.2751316,-111.9642473,0
33.2750400761668,-111.964177340229,0
33.274948976168,-111.964108806896,0
33.2748583,-111.9640417,0
33.2747700638843,-111.963981373565,0
33.2746822516062,-111.963922473565,0
33.2745944392398,-111.963863573566,0
33.2745066267851,-111.963804673567,STOP(0 128 255)
33.2744188142421,-111.963745773568,0
33.2743310016107,-111.963686873568,0
33.274243188891,-111.963627973569,0
33.2741558,-111.9635705,0
33.2740625761828,-111.963511640237,0
33.273969776184,-111.963454206905,0
33.2738774,-111.9633982,0
